% 2016îN 10åé 31ì˙ 13éû 56ï™ 48.788000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris_N File :  03383650.15n
Ephemeris_G File :  Nothing
IONEX       File :  igrg3650.15i
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 10: 0: 0
END         TIME :  2015/12/31 11: 7:30
True Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1877    381600   36000  -3762367.3978   3680866.8882   3590465.6919       0.4795       0.5584      -0.1273
      2  1877    381630   36030  -3762367.4666   3680866.6712   3590465.8117       0.6828       0.7153      -0.1440
      3  1877    381660   36060  -3762367.3592   3680866.5525   3590465.8182       0.6925       0.8111      -0.2720
      4  1877    381690   36090  -3762367.1665   3680866.3947   3590465.7232       0.6705       0.8732      -0.5302
      5  1877    381720   36120  -3762367.1319   3680866.3190   3590465.7098       0.7004       0.9061      -0.6019
      6  1877    381750   36150  -3762367.0216   3680866.1977   3590465.6004       0.7100       0.9086      -0.7988
      7  1877    381780   36180  -3762367.0621   3680866.1766   3590465.5075       0.7534       0.8240      -0.8397
      8  1877    381810   36210  -3762367.0808   3680866.1474   3590465.4259       0.7874       0.7607      -0.8917
      9  1877    381840   36240  -3762367.0157   3680866.0716   3590465.3312       0.7960       0.7390      -1.0274
     10  1877    381870   36270  -3762367.0322   3680866.0394   3590465.2616       0.8306       0.6877      -1.0756
     11  1877    381900   36300  -3762367.0416   3680866.0352   3590465.2552       0.8401       0.6803      -1.0761
     12  1877    381930   36330  -3762367.0313   3680865.9931   3590465.2011       0.8630       0.6565      -1.1370
     13  1877    381960   36360  -3762367.0068   3680865.9906   3590465.1507       0.8477       0.6259      -1.1814
     14  1877    381990   36390  -3762366.9659   3680865.9191   3590465.0585       0.8702       0.5947      -1.2990
     15  1877    382020   36420  -3762366.9148   3680865.8728   3590465.0373       0.8675       0.6163      -1.3678
     16  1877    382050   36450  -3762366.9770   3680865.9358   3590465.0612       0.8660       0.5858      -1.2812
     17  1877    382080   36480  -3762366.9568   3680865.9332   3590465.0573       0.8537       0.5918      -1.2969
     18  1877    382110   36510  -3762366.9799   3680865.9585   3590465.0637       0.8518       0.5778      -1.2651
     19  1877    382140   36540  -3762367.0034   3680866.0129   3590465.0838       0.8294       0.5632      -1.2085
     20  1877    382170   36570  -3762366.9997   3680866.0140   3590465.0765       0.8260       0.5583      -1.2142
     21  1877    382200   36600  -3762367.0259   3680866.0518   3590465.0992       0.8173       0.5515      -1.1640
     22  1877    382230   36630  -3762367.0282   3680866.0507   3590465.0967       0.8197       0.5489      -1.1647
     23  1877    382260   36660  -3762367.0759   3680866.0914   3590465.1150       0.8240       0.5286      -1.1029
     24  1877    382290   36690  -3762367.0895   3680866.0911   3590465.1053       0.8337       0.5152      -1.1005
     25  1877    382320   36720  -3762367.1231   3680866.1212   3590465.1076       0.8357       0.4916      -1.0620
     26  1877    382350   36750  -3762367.1291   3680866.1347   3590465.1102       0.8303       0.4859      -1.0492
     27  1877    382380   36780  -3762367.1409   3680866.1326   3590465.0961       0.8400       0.4704      -1.0515
     28  1877    382410   36810  -3762366.9534   3680866.3656   3590465.9454       0.5423       1.1541      -0.5469
     29  1877    382440   36840  -3762366.7400   3680866.5267   3590466.6588       0.2779       1.7647      -0.1758
     30  1877    382470   36870  -3762366.5753   3680866.6996   3590467.2742       0.0391       2.2703       0.1751
     31  1877    382500   36900  -3762366.4133   3680866.8379   3590467.8074      -0.1730       2.7206       0.4613
     32  1877    382530   36930  -3762366.2727   3680866.9664   3590468.2600      -0.3632       3.0997       0.7087
     33  1877    382560   36960  -3762366.1378   3680867.0616   3590468.6203      -0.5255       3.4136       0.8881
     34  1877    382590   36990  -3762366.0543   3680867.1561   3590468.9345      -0.6515       3.6690       1.0712
     35  1877    382620   37020  -3762365.9537   3680867.2323   3590469.1795      -0.7763       3.8815       1.1945
     36  1877    382650   37050  -3762365.8752   3680867.2892   3590469.3638      -0.8719       4.0427       1.2855
     37  1877    382680   37080  -3762365.8343   3680867.3554   3590469.5183      -0.9478       4.1604       1.3869
     38  1877    382710   37110  -3762365.8572   3680867.3601   3590469.4544      -0.9352       4.0965       1.3670
     39  1877    382740   37140  -3762365.8950   3680867.3794   3590469.4010      -0.9225       4.0296       1.3702
     40  1877    382770   37170  -3762365.9044   3680867.3647   3590469.3199      -0.9054       3.9648       1.3213
     41  1877    382800   37200  -3762365.9400   3680867.3827   3590469.2704      -0.8934       3.9025       1.3246
     42  1877    382830   37230  -3762365.9777   3680867.4038   3590469.2222      -0.8822       3.8391       1.3318
     43  1877    382860   37260  -3762366.0229   3680867.4198   3590469.1730      -0.8620       3.7739       1.3397
     44  1877    382890   37290  -3762366.0518   3680867.4188   3590469.1180      -0.8411       3.7173       1.3250
     45  1877    382920   37320  -3762366.0893   3680867.4311   3590469.0672      -0.8236       3.6553       1.3255
     46  1877    382950   37350  -3762366.1381   3680867.4552   3590469.0315      -0.8067       3.5967       1.3479
     47  1877    382980   37380  -3762366.1684   3680867.4644   3590468.9769      -0.7921       3.5358       1.3401
     48  1877    383010   37410  -3762366.2074   3680867.4865   3590468.9429      -0.7806       3.4832       1.3566
     49  1877    383040   37440  -3762366.2506   3680867.5159   3590468.9143      -0.7714       3.4305       1.3829
     50  1877    383070   37470  -3762366.2774   3680867.5342   3590468.8739      -0.7657       3.3791       1.3863
     51  1877    383100   37500  -3762366.3269   3680867.5676   3590468.8476      -0.7550       3.3242       1.4199
     52  1877    383130   37530  -3762366.3717   3680867.5969   3590468.8192      -0.7446       3.2710       1.4470
     53  1877    383160   37560  -3762366.4126   3680867.6267   3590468.7949      -0.7373       3.2226       1.4746
     54  1877    383190   37590  -3762366.4582   3680867.6601   3590468.7715      -0.7293       3.1717       1.5074
     55  1877    383220   37620  -3762366.4946   3680867.6786   3590468.7372      -0.7170       3.1214       1.5201
     56  1877    383250   37650  -3762366.5399   3680867.7131   3590468.7219      -0.7101       3.0767       1.5581
     57  1877    383280   37680  -3762366.5753   3680867.7309   3590468.6928      -0.6981       3.0314       1.5727
     58  1877    383310   37710  -3762366.6050   3680867.7363   3590468.6575      -0.6811       2.9881       1.5733
     59  1877    383340   37740  -3762366.6403   3680867.7543   3590468.6280      -0.6693       2.9424       1.5878
     60  1877    383370   37770  -3762366.6750   3680867.7738   3590468.6026      -0.6590       2.8997       1.6051
     61  1877    383400   37800  -3762366.7060   3680867.7886   3590468.5704      -0.6478       2.8547       1.6137
     62  1877    383430   37830  -3762366.7405   3680867.7970   3590468.5343      -0.6298       2.8077       1.6185
     63  1877    383460   37860  -3762366.7726   3680867.8163   3590468.5098      -0.6211       2.7669       1.6347
     64  1877    383490   37890  -3762366.8085   3680867.8189   3590468.4736      -0.5979       2.7215       1.6367
     65  1877    383520   37920  -3762366.8758   3680867.8656   3590468.4497      -0.5842       2.6560       1.6898
     66  1877    383550   37950  -3762366.9466   3680867.9151   3590468.4319      -0.5700       2.5931       1.7500
     67  1877    383580   37980  -3762367.0062   3680867.9574   3590468.4172      -0.5586       2.5402       1.8012
     68  1877    383610   38010  -3762367.0597   3680867.9926   3590468.3926      -0.5463       2.4843       1.8390
     69  1877    383640   38040  -3762367.1121   3680868.0358   3590468.3703      -0.5406       2.4276       1.8822
     70  1877    383670   38070  -3762367.1634   3680868.0801   3590468.3567      -0.5364       2.3781       1.9303
     71  1877    383700   38100  -3762367.2099   3680868.1172   3590468.3429      -0.5304       2.3333       1.9713
     72  1877    383730   38130  -3762367.2515   3680868.1456   3590468.3212      -0.5216       2.2872       1.9999
     73  1877    383760   38160  -3762367.2845   3680868.1655   3590468.2932      -0.5127       2.2429       2.0150
     74  1877    383790   38190  -3762367.3231   3680868.1834   3590468.2661      -0.4985       2.1979       2.0327
     75  1877    383820   38220  -3762367.3482   3680868.1936   3590468.2332      -0.4883       2.1566       2.0347
     76  1877    383850   38250  -3762367.3797   3680868.2053   3590468.2069      -0.4747       2.1175       2.0451
     77  1877    383880   38280  -3762367.4043   3680868.2123   3590468.1770      -0.4624       2.0802       2.0467
     78  1877    383910   38310  -3762367.4283   3680868.2219   3590468.1529      -0.4525       2.0468       2.0527
     79  1877    383940   38340  -3762367.4445   3680868.2260   3590468.1276      -0.4441       2.0177       2.0503
     80  1877    383970   38370  -3762367.4653   3680868.2385   3590468.1082      -0.4385       1.9883       2.0589
     81  1877    384000   38400  -3762367.4905   3680868.2468   3590468.0896      -0.4267       1.9595       2.0679
     82  1877    384030   38430  -3762367.5110   3680868.2559   3590468.0683      -0.4189       1.9301       2.0732
     83  1877    384060   38460  -3762367.5271   3680868.2575   3590468.0432      -0.4088       1.9023       2.0694
     84  1877    384090   38490  -3762367.5359   3680868.2617   3590468.0193      -0.4056       1.8774       2.0635
     85  1877    384120   38520  -3762367.5506   3680868.2598   3590467.9885      -0.3940       1.8467       2.0536
     86  1877    384150   38550  -3762367.5584   3680868.2557   3590467.9521      -0.3857       1.8152       2.0352
     87  1877    384180   38580  -3762367.5615   3680868.2490   3590467.9143      -0.3788       1.7854       2.0118
     88  1877    384210   38610  -3762367.5651   3680868.2398   3590467.8739      -0.3695       1.7543       1.9857
     89  1877    384240   38640  -3762367.5667   3680868.2267   3590467.8310      -0.3592       1.7235       1.9548
     90  1877    384270   38670  -3762367.5740   3680868.2149   3590467.7930      -0.3456       1.6939       1.9308
     91  1877    384300   38700  -3762367.5768   3680868.2052   3590467.7570      -0.3367       1.6670       1.9065
     92  1877    384330   38730  -3762367.5791   3680868.1929   3590467.7222      -0.3263       1.6422       1.8811
     93  1877    384360   38760  -3762367.5832   3680868.1822   3590467.6905      -0.3158       1.6187       1.8594
     94  1877    384390   38790  -3762367.5854   3680868.1713   3590467.6566      -0.3065       1.5942       1.8352
     95  1877    384420   38820  -3762367.5837   3680868.1585   3590467.6201      -0.2985       1.5698       1.8062
     96  1877    384450   38850  -3762367.5899   3680868.1440   3590467.5854      -0.2837       1.5444       1.7818
     97  1877    384480   38880  -3762367.5937   3680868.1280   3590467.5487      -0.2697       1.5189       1.7541
     98  1877    384510   38910  -3762367.5912   3680868.1150   3590467.5107      -0.2622       1.4938       1.7236
     99  1877    384540   38940  -3762367.5928   3680868.0941   3590467.4677      -0.2461       1.4660       1.6881
    100  1877    384570   38970  -3762367.5898   3680868.0798   3590467.4297      -0.2380       1.4416       1.6566
    101  1877    384600   39000  -3762367.5868   3680868.0614   3590467.3905      -0.2269       1.4177       1.6220
    102  1877    384630   39030  -3762367.5832   3680868.0391   3590467.3487      -0.2135       1.3935       1.5835
    103  1877    384660   39060  -3762367.5722   3680868.0190   3590467.3040      -0.2068       1.3691       1.5400
    104  1877    384690   39090  -3762367.5656   3680868.0028   3590467.2652      -0.1998       1.3462       1.5048
    105  1877    384720   39120  -3762367.5559   3680867.9892   3590467.2261      -0.1970       1.3233       1.4691
    106  1877    384750   39150  -3762367.5476   3680867.9685   3590467.1828      -0.1879       1.2991       1.4278
    107  1877    384780   39180  -3762367.5428   3680867.9453   3590467.1412      -0.1747       1.2759       1.3881
    108  1877    384810   39210  -3762367.5285   3680867.9182   3590467.0934      -0.1653       1.2531       1.3369
    109  1877    384840   39240  -3762367.5122   3680867.8888   3590467.0473      -0.1557       1.2333       1.2843
    110  1877    384870   39270  -3762367.4949   3680867.8608   3590466.9986      -0.1478       1.2113       1.2304
    111  1877    384900   39300  -3762367.4795   3680867.8317   3590466.9509      -0.1377       1.1897       1.1775
    112  1877    384930   39330  -3762367.4578   3680867.7964   3590466.8996      -0.1277       1.1701       1.1153
    113  1877    384960   39360  -3762367.4392   3680867.7646   3590466.8532      -0.1180       1.1520       1.0598
    114  1877    384990   39390  -3762367.4172   3680867.7286   3590466.8005      -0.1076       1.1317       0.9963
    115  1877    385020   39420  -3762367.3951   3680867.6951   3590466.7489      -0.0991       1.1114       0.9347
    116  1877    385050   39450  -3762367.3764   3680867.6621   3590466.6998      -0.0886       1.0916       0.8769
    117  1877    385080   39480  -3762367.3561   3680867.6307   3590466.6498      -0.0804       1.0710       0.8185
    118  1877    385110   39510  -3762367.3365   3680867.5934   3590466.5984      -0.0674       1.0513       0.7564
    119  1877    385140   39540  -3762367.3148   3680867.5636   3590466.5501      -0.0613       1.0321       0.6990
    120  1877    385170   39570  -3762367.2951   3680867.5297   3590466.5027      -0.0509       1.0145       0.6410
    121  1877    385200   39600  -3762367.2728   3680867.4986   3590466.4637      -0.0442       1.0036       0.5879
    122  1877    385230   39630  -3762367.2547   3680867.4704   3590466.4277      -0.0367       0.9924       0.5407
    123  1877    385260   39660  -3762367.2397   3680867.4413   3590466.3925      -0.0264       0.9810       0.4950
    124  1877    385290   39690  -3762367.2206   3680867.4114   3590466.3557      -0.0184       0.9702       0.4457
    125  1877    385320   39720  -3762367.1999   3680867.3795   3590466.3189      -0.0100       0.9609       0.3942
    126  1877    385350   39750  -3762367.1816   3680867.3414   3590466.2761       0.0044       0.9481       0.3374
    127  1877    385380   39780  -3762367.1628   3680867.3123   3590466.2397       0.0120       0.9372       0.2889
    128  1877    385410   39810  -3762367.1440   3680867.2808   3590466.1988       0.0214       0.9235       0.2365
    129  1877    385440   39840  -3762367.1248   3680867.2507   3590466.1589       0.0295       0.9104       0.1852
    130  1877    385470   39870  -3762367.1071   3680867.2227   3590466.1203       0.0371       0.8968       0.1368
    131  1877    385500   39900  -3762367.0914   3680867.1975   3590466.0838       0.0442       0.8830       0.0924
    132  1877    385530   39930  -3762367.0755   3680867.1683   3590466.0454       0.0539       0.8693       0.0445
    133  1877    385560   39960  -3762367.0615   3680867.1405   3590466.0087       0.0640       0.8558      -0.0006
    134  1877    385590   39990  -3762367.0467   3680867.1113   3590465.9724       0.0745       0.8434      -0.0467
    135  1877    385620   40020  -3762367.0328   3680867.0820   3590465.9356       0.0858       0.8303      -0.0926
    136  1877    385650   40050  -3762367.0203   3680867.0575   3590465.9018       0.0946       0.8172      -0.1333
