% 2016îN 12åé 17ì˙ 16éû 9ï™ 47.990000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  AndroidOBS.16o
Ephemeris_N File :  AndroidOBS.16n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2016/12/17  6:39:5.400000e+000
END         TIME :  2016/12/17  6:40:1.040000e+001
True Position[m] :  X = -3748111.4801,  Y = 3635877.5482,  Z = 3650437.2263

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1927    542345   23945  -3761118.0289   3636771.6989   3636298.6863    8414.3854  -17293.5307       6.4739
      2  1927    542346   23946  -3761120.2723   3636775.5388   3636297.7560    8413.1914  -17296.7570       9.4418
      3  1927    542347   23947  -3761121.0944   3636772.4241   3636299.4890    8415.9994  -17294.4313       9.1482
      4  1927    542348   23948  -3761120.3027   3636769.2961   3636300.2272    8417.6933  -17292.2471       7.3273
      5  1927    542349   23949  -3761116.8814   3636769.4273   3636300.1958    8415.2170  -17290.9119       5.3757
      6  1927    542350   23950  -3761117.1199   3636762.6891   3636301.3575    8420.2195  -17287.3603       2.3476
      7  1927    542351   23951  -3761117.6737   3636749.0421   3636304.0420    8430.4006  -17279.9250      -3.5530
      8  1927    542352   23952  -3761116.6674   3636748.9176   3636303.0902    8429.7892  -17280.2377      -4.7624
      9  1927    542353   23953  -3761114.6219   3636742.6788   3636301.7413    8432.8431  -17277.9957     -10.2917
     10  1927    542354   23954  -3761114.2326   3636739.9063   3636303.2640    8434.5620  -17275.4786     -11.2226
     11  1927    542355   23955  -3761117.5752   3636741.2390   3636304.4360    8435.9328  -17276.4351      -7.8272
     13  1927    542357   23957  -3761115.3091   3636735.7349   3636308.5410    8438.3056  -17269.9363      -9.9288
     14  1927    542358   23958  -3761116.5326   3636731.8325   3636307.7126    8441.9586  -17269.5554     -11.9094
     15  1927    542359   23959  -3761114.3304   3636726.0589   3636313.3600    8444.5694  -17261.7137     -13.2393
     16  1927    542360   23960  -3761110.8794   3636725.7596   3636311.3379    8442.3814  -17261.8218     -16.5992
     17  1927    542361   23961  -3761102.8723   3636717.2131   3636311.6643    8442.9407  -17254.8222     -25.9777
     18  1927    542362   23962  -3761100.0091   3636729.6536   3636307.4826    8432.0176  -17262.0444     -22.9814
     18  1927    542362   23962  -3761099.6157   3636736.7713   3636304.9154    8426.6347  -17266.8336     -20.6370
     19  1927    542363   23963  -3761098.3429   3636734.8522   3636303.6201    8427.1260  -17266.5980     -23.2223
     21  1927    542365   23965  -3761098.6860   3636727.5641   3636307.5772    8432.5961  -17260.5832     -24.8933
     21  1927    542365   23965  -3761101.1383   3636724.9223   3636310.3911    8436.1998  -17258.2364     -23.3386
     23  1927    542367   23967  -3761098.7394   3636722.8064   3636313.1459    8436.0482  -17254.1447     -24.3661
     24  1927    542368   23968  -3761094.0328   3636728.1773   3636316.9871    8428.9160  -17251.2114     -21.8598
     25  1927    542369   23969  -3761088.5091   3636725.6999   3636320.8907    8426.8482  -17244.7445     -24.2661
     26  1927    542370   23970  -3761088.3435   3636723.7849   3636323.9169    8428.1075  -17241.4339     -23.7120
