% 2016îN 12åé 21ì˙ 14éû 20ï™ 1.743000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  AndroidOBS.16o
Ephemeris_N File :  AndroidOBS.16n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2016/12/21  5: 9: 0
END         TIME :  2016/12/21  5:10:22
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1928    277740   18540  -3761055.1254   3636647.2736   3636355.0982      -5.6018      -2.7107      -9.5022
      2  1928    277741   18541  -3761061.5422   3636638.5672   3636340.6520       5.1177     -13.7219     -18.9635
      3  1928    277742   18542  -3761062.1825   3636641.6042   3636345.5035       3.3794     -11.2212     -14.0753
      4  1928    277744   18544  -3761060.3005   3636640.3641   3636345.8439       2.9627      -9.6724     -15.6949
      5  1928    277745   18545  -3761061.3234   3636647.5031   3636343.9693      -1.4584     -14.4750     -12.1012
      6  1928    277746   18546  -3761061.3165   3636652.5829   3636347.8358      -5.1151     -13.3286      -6.9954
      7  1928    277747   18547  -3761063.2706   3636655.2553   3636357.7387      -5.6780      -7.0853       1.3550
      8  1928    277748   18548  -3761063.4837   3636651.1133   3636356.4726      -2.5521      -6.5598      -1.6043
      9  1928    277749   18549  -3761062.2490   3636650.5620   3636356.8209      -3.0141      -5.5458      -2.4458
     10  1928    277750   18550  -3761062.5217   3636649.7067   3636356.2896      -2.2097      -5.7527      -3.0769
     11  1928    277751   18551  -3761061.9571   3636647.3886   3636355.7493      -0.9356      -5.0388      -5.0395
     12  1928    277752   18552  -3761061.8122   3636648.0252   3636356.4211      -1.4940      -4.6824      -4.3771
     13  1928    277753   18553  -3761063.4926   3636651.7553   3636359.6380      -3.0075      -4.2258       0.5814
     14  1928    277754   18554  -3761063.5971   3636652.0856   3636359.5751      -3.1723      -4.4520       0.7951
     15  1928    277755   18555  -3761063.6743   3636651.9152   3636359.2783      -2.9961      -4.6591       0.5732
     16  1928    277756   18556  -3761063.4813   3636652.3758   3636358.9143      -3.4614      -5.0614       0.5132
     17  1928    277757   18557  -3761067.4227   3636654.4287   3636359.9690      -2.1975      -6.6399       4.6086
     18  1928    277758   18558  -3761067.4967   3636654.6067   3636359.1745      -2.2741      -7.3923       4.2981
     19  1928    277759   18559  -3761067.7785   3636655.2128   3636359.2675      -2.5139      -7.6738       4.8625
     20  1928    277760   18560  -3761067.8685   3636655.7459   3636358.8990      -2.8345      -8.2252       5.0079
     21  1928    277761   18561  -3761067.8542   3636656.2063   3636358.7880      -3.1755      -8.4938       5.1981
     22  1928    277762   18562  -3761067.8110   3636656.5794   3636358.6090      -3.4737      -8.7713       5.2825
     23  1928    277763   18563  -3761068.0400   3636657.2974   3636358.6267      -3.8307      -9.1373       5.8365
     24  1928    277764   18564  -3761068.1349   3636657.5996   3636358.9165      -3.9820      -9.0594       6.2306
     25  1928    277765   18565  -3761067.8943   3636657.5930   3636358.6676      -4.1445      -9.1615       5.9424
     26  1928    277766   18566  -3761067.8500   3636657.7920   3636358.4755      -4.3183      -9.3800       5.9196
     27  1928    277767   18567  -3761067.5655   3636657.9281   3636358.1919      -4.6140      -9.5494       5.6669
     28  1928    277768   18568  -3761067.5911   3636657.9478   3636358.1498      -4.6103      -9.6022       5.6690
     29  1928    277769   18569  -3761067.1799   3636657.5020   3636357.6965      -4.5757      -9.6265       4.9130
     30  1928    277770   18570  -3761066.7403   3636657.0715   3636357.0749      -4.5718      -9.7831       4.0526
     31  1928    277771   18571  -3761066.6865   3636656.8056   3636356.5497      -4.4180     -10.0852       3.5683
     32  1928    277772   18572  -3761066.7686   3636656.3971   3636356.1364      -4.0673     -10.2949       3.1471
     33  1928    277773   18573  -3761067.2302   3636656.4991   3636356.3684      -3.8197     -10.3357       3.6101
     34  1928    277774   18574  -3761067.3767   3636656.5663   3636356.2027      -3.7662     -10.5586       3.6397
     35  1928    277775   18575  -3761067.5615   3636656.4138   3636356.5541      -3.5281     -10.2861       3.8631
     36  1928    277776   18576  -3761067.7568   3636656.4328   3636356.5598      -3.4060     -10.3695       3.9922
     37  1928    277777   18577  -3761067.9394   3636656.5526   3636356.6630      -3.3652     -10.4080       4.2272
     38  1928    277778   18578  -3761067.8515   3636656.2609   3636356.6408      -3.2166     -10.2737       3.9965
     39  1928    277779   18579  -3761067.9823   3636655.7921   3636356.4694      -2.7887     -10.2812       3.7083
     40  1928    277780   18580  -3761067.8475   3636655.5253   3636356.3599      -2.6906     -10.2090       3.4142
     41  1928    277781   18581  -3761067.9278   3636655.6851   3636356.6156      -2.7497     -10.0963       3.6991
     42  1928    277782   18582  -3761067.9876   3636655.8720   3636356.8082      -2.8425     -10.0376       3.9513
     43  1928    277783   18583  -3761068.3618   3636656.1896   3636357.0339      -2.8107     -10.1335       4.4820
     44  1928    277784   18584  -3761068.8286   3636656.7771   3636357.5797      -2.9085     -10.1128       5.4044
     45  1928    277785   18585  -3761069.1311   3636657.1829   3636357.7945      -2.9900     -10.2232       5.9369
     46  1928    277786   18586  -3761069.3770   3636657.7971   3636358.1148      -3.2606     -10.3069       6.6151
     47  1928    277787   18587  -3761069.5335   3636658.2264   3636358.3078      -3.4604     -10.3844       7.0624
