% 2016îN 12åé 22ì˙ 14éû 33ï™ 6.411000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  AndroidOBS.16o
Ephemeris_N File :  AndroidOBS.16n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2016/12/22  5:24:38
END         TIME :  2016/12/22  5:27:39
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1928    365078   19478  -3761092.5461   3636734.0849   3636401.5836     -41.9985     -14.6438      88.6318
      2  1928    365079   19479  -3761094.8303   3636731.1615   3636405.5500     -38.3090     -11.1704      90.5863
      3  1928    365080   19480  -3761094.5652   3636729.9519   3636406.6883     -37.6238      -9.6463      90.3939
      4  1928    365081   19481  -3761089.4921   3636727.0131   3636401.6589     -39.0375     -10.5050      82.8485
      5  1928    365082   19482  -3761078.1410   3636717.7277   3636398.8300     -40.2526      -4.4439      69.2524
      6  1928    365083   19483  -3761080.3256   3636713.5975   3636402.5022     -35.7648      -0.6895      70.2922
      7  1928    365084   19484  -3761081.1085   3636709.8589   3636405.0938     -32.5329       2.6010      70.1100
      8  1928    365085   19485  -3761080.7487   3636705.9281   3636407.1801     -29.9572       6.0253      68.8555
      9  1928    365086   19486  -3761080.9168   3636701.8863   3636408.8254     -26.9347       8.9148      67.5958
     10  1928    365087   19487  -3761079.5946   3636699.7730   3636410.3177     -26.3345      11.5246      66.4690
     11  1928    365088   19488  -3761078.2465   3636698.6126   3636411.7246     -26.4375      13.6955      65.8207
     12  1928    365089   19489  -3761077.0995   3636696.9411   3636411.8094     -26.0331      14.9039      64.2417
     13  1928    365090   19490  -3761076.2498   3636696.2337   3636412.4881     -26.1152      16.0921      63.7275
     14  1928    365091   19491  -3761075.5820   3636695.4688   3636413.0348     -26.0295      17.1200      63.2119
     15  1928    365092   19492  -3761074.8561   3636694.5514   3636413.7167     -25.8746      18.3435      62.6529
     16  1928    365093   19493  -3761074.9951   3636694.4904   3636414.6699     -25.7341      19.0916      63.2464
     17  1928    365094   19494  -3761075.8930   3636694.8918   3636415.9379     -25.3985      19.6004      64.7309
     18  1928    365095   19495  -3761076.6365   3636695.1350   3636416.8531     -25.0565      19.9469      65.8320
     19  1928    365096   19496  -3761077.2718   3636695.1016   3636417.3081     -24.5909      20.0712      66.4481
     20  1928    365097   19497  -3761077.8085   3636695.2336   3636417.8588     -24.3127      20.2486      67.1552
     21  1928    365098   19498  -3761078.3699   3636695.2278   3636418.1164     -23.9183      20.2305      67.6302
     22  1928    365099   19499  -3761079.2539   3636695.3112   3636418.7078     -23.3638      20.3175      68.5375
     23  1928    365100   19500  -3761080.0151   3636695.4824   3636418.5472     -22.9578      19.8040      68.9913
     24  1928    365101   19501  -3761081.1542   3636695.9303   3636418.8582     -22.4879      19.4108      70.0956
     25  1928    365102   19502  -3761081.9821   3636696.3647   3636419.2045     -22.2247      19.1801      71.0291
     26  1928    365103   19503  -3761082.9677   3636696.8419   3636419.5639     -21.8827      18.8783      72.0876
     27  1928    365104   19504  -3761083.7907   3636696.4508   3636419.7374     -21.0295      18.8370      72.4490
     28  1928    365105   19505  -3761084.6761   3636696.5198   3636420.5975     -20.4635      19.1493      73.5029
     29  1928    365106   19506  -3761085.3128   3636696.4526   3636420.9744     -19.9727      19.2225      74.0557
     30  1928    365107   19507  -3761085.8595   3636696.4080   3636421.3611     -19.5606      19.3317      74.5741
     31  1928    365108   19508  -3761086.4757   3636696.2810   3636421.3566     -19.0410      19.1248      74.8621
     32  1928    365109   19509  -3761086.9767   3636696.3060   3636421.3706     -18.7107      18.9198      75.1795
     33  1928    365110   19510  -3761087.5607   3636696.2542   3636421.4445     -18.2675      18.7602      75.5364
     34  1928    365111   19511  -3761087.8415   3636695.9581   3636420.8806     -17.8595      18.3005      75.2097
     35  1928    365112   19512  -3761088.0910   3636695.8970   3636420.5303     -17.6421      17.9350      75.1211
     36  1928    365113   19513  -3761088.4273   3636695.8079   3636420.2622     -17.3443      17.6122      75.1148
     37  1928    365114   19514  -3761088.7011   3636695.7352   3636419.9848     -17.1017      17.3010      75.0756
     38  1928    365115   19515  -3761089.1880   3636695.8158   3636419.8594     -16.8212      16.9655      75.3364
     39  1928    365116   19516  -3761089.4791   3636695.5094   3636419.3659     -16.3986      16.5633      75.0504
     40  1928    365117   19517  -3761089.5863   3636695.2062   3636418.9907     -16.1061      16.3325      74.7257
     41  1928    365118   19518  -3761089.6283   3636694.9450   3636418.7962     -15.8891      16.2600      74.4902
     42  1928    365119   19519  -3761089.7737   3636694.9415   3636419.1412     -15.7856      16.4841      74.7717
     43  1928    365120   19520  -3761089.8541   3636694.8508   3636419.1879     -15.6644      16.5253      74.7942
     44  1928    365121   19521  -3761090.2252   3636695.2105   3636419.9330     -15.6651      16.8395      75.6448
     45  1928    365122   19522  -3761090.9282   3636696.3304   3636421.9332     -15.9814      17.7423      77.8434
     46  1928    365123   19523  -3761091.3712   3636697.1071   3636423.4975     -16.2319      18.5318      79.4435
     47  1928    365124   19524  -3761091.5928   3636697.2663   3636424.1030     -16.1923      18.8732      80.0119
     48  1928    365125   19525  -3761092.1054   3636698.3903   3636426.3633     -16.6440      20.0659      82.2499
     49  1928    365126   19526  -3761092.3199   3636698.6652   3636427.0355     -16.6926      20.4187      82.9182
     50  1928    365127   19527  -3761092.5431   3636698.8780   3636427.7540     -16.6904      20.8306      83.5827
     51  1928    365128   19528  -3761092.8783   3636699.2867   3636428.8536     -16.7512      21.4305      84.6434
     52  1928    365129   19529  -3761093.0808   3636699.1956   3636429.5199     -16.5450      21.9293      85.0928
     53  1928    365130   19530  -3761093.1696   3636698.4688   3636429.2051     -15.9607      21.9244      84.5507
     54  1928    365131   19531  -3761093.2909   3636697.9596   3636428.8513     -15.5103      21.7875      84.1293
     55  1928    365132   19532  -3761093.4869   3636698.1276   3636428.7828     -15.4949      21.5835      84.3011
     56  1928    365133   19533  -3761093.5681   3636697.7446   3636428.6923     -15.1631      21.6286      84.0789
     57  1928    365134   19534  -3761093.6486   3636697.0462   3636428.1627     -14.6051      21.4398      83.4249
     58  1928    365135   19535  -3761093.9042   3636696.7649   3636428.2073     -14.2252      21.4831      83.4409
     59  1928    365136   19536  -3761094.2738   3636696.7996   3636428.6212     -13.9932      21.6560      83.9157
