% 2017îN 1åé 6ì˙ 15éû 38ï™ 59.779000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  AndroidOBS.16o
Ephemeris_N File :  AndroidOBS.16n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2016/12/26  6:19:47
END         TIME :  2016/12/26  6:23: 7
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1929    109187   22787  -3761104.6717   3636663.3299   3636286.0100      17.2958     -86.1366     -10.7840
      2  1929    109188   22788  -3761104.9059   3636663.3126   3636285.9577      17.4710     -86.2691     -10.6859
      3  1929    109189   22789  -3761105.1484   3636663.5125   3636285.9088      17.4959     -86.4887     -10.4572
      4  1929    109190   22790  -3761106.2478   3636664.3489   3636284.8061      17.6588     -88.1787      -9.9656
      5  1929    109191   22791  -3761107.4918   3636664.2885   3636282.4053      18.5670     -90.6344     -10.6437
      6  1929    109192   22792  -3761109.3006   3636668.0240   3636279.0712      17.1388     -95.6003      -9.3623
      7  1929    109193   22793  -3761120.6824   3636687.9348   3636282.5457      10.7367    -105.3796      10.6735
      8  1929    109194   22794  -3761124.8416   3636692.0499   3636280.1308      10.6695    -110.7124      14.0825
      9  1929    109196   22796  -3761133.3545   3636694.8886   3636282.7710      14.5462    -113.1892      22.2271
     10  1929    109197   22797  -3761141.6600   3636693.9041   3636285.5981      21.0273    -113.9038      28.1793
     11  1929    109198   22798  -3761145.0765   3636696.1483   3636284.0322      21.7887    -117.4893      30.5721
     12  1929    109199   22799  -3761139.6457   3636697.0279   3636279.4164      17.3814    -119.3834      25.2279
     13  1929    109200   22800  -3761139.0671   3636695.2031   3636280.6795      18.2911    -117.3827      24.5720
     14  1929    109201   22801  -3761135.9180   3636692.0833   3636277.4485      18.3449    -117.4887      19.0878
     15  1929    109202   22802  -3761134.1368   3636690.9003   3636272.9444      17.9572    -119.9735      14.7826
     16  1929    109203   22803  -3761136.2272   3636691.6403   3636271.1802      18.8783    -122.5754      15.4239
     17  1929    109204   22804  -3761134.0146   3636686.0108   3636265.7659      21.3873    -123.8560       7.8104
     18  1929    109205   22805  -3761133.3621   3636686.3233   3636264.0637      20.7091    -125.1063       6.6281
     19  1929    109206   22806  -3761136.3983   3636690.7010   3636264.5513      19.6725    -127.7029      11.1892
     20  1929    109207   22807  -3761133.3422   3636692.2460   3636261.7129      16.4375    -129.3846       8.6418
     21  1929    109208   22808  -3761133.7084   3636694.3043   3636262.6984      15.2123    -129.5483      10.5947
     22  1929    109209   22809  -3761137.2857   3636696.3657   3636261.3724      16.2170    -132.9307      13.1156
     23  1929    109210   22810  -3761141.1589   3636698.9739   3636264.9885      17.0343    -132.6037      18.9556
     24  1929    109211   22811  -3761138.2837   3636699.5830   3636263.4714      14.5978    -132.9045      16.7392
     25  1929    109212   22812  -3761145.8983   3636706.0072   3636267.1845      15.2725    -135.5608      27.0119
     26  1929    109213   22813  -3761145.6929   3636709.0553   3636267.3341      12.9384    -136.5683      28.7126
     27  1929    109214   22814  -3761145.7545   3636710.1319   3636265.0659      12.2073    -138.8812      28.0616
     28  1929    109215   22815  -3761142.7034   3636707.3684   3636261.1293      12.0731    -139.7478      22.4337
     29  1929    109216   22816  -3761142.2262   3636707.4580   3636258.2614      11.6770    -141.9366      20.5594
     30  1929    109217   22817  -3761140.7510   3636708.4863   3636254.7666       9.9123    -144.6017      18.2725
     30  1929    109217   22817  -3761137.8436   3636706.9186   3636253.3387       9.0183    -143.9485      14.8485
     32  1929    109219   22819  -3761138.3432   3636710.1256   3636250.2237       7.0601    -147.9847      15.1833
     33  1929    109220   22820  -3761140.9033   3636711.3579   3636250.0487       7.9538    -149.6744      17.2928
     34  1929    109221   22821  -3761141.1038   3636712.3158   3636249.0435       7.4045    -150.9623      17.3801
     35  1929    109222   22822  -3761143.8849   3636714.3555   3636249.3708       7.8714    -152.6534      20.3676
     36  1929    109223   22823  -3761144.4215   3636712.4460   3636245.4479       9.6171    -155.3276      17.3470
     37  1929    109224   22824  -3761146.4390   3636712.7906   3636241.5772      10.7717    -159.4678      16.5125
     38  1929    109225   22825  -3761149.4242   3636714.1938   3636240.2462      11.8381    -162.3479      18.3068
     39  1929    109226   22826  -3761150.5654   3636714.1018   3636238.1008      12.6975    -164.5394      17.6967
     40  1929    109227   22827  -3761150.1241   3636714.1478   3636235.6743      12.3577    -166.3641      16.0718
     41  1929    109228   22828  -3761148.6375   3636711.1302   3636233.0599      13.4936    -166.6908      11.9786
     42  1929    109229   22829  -3761150.0284   3636711.3715   3636233.3912      14.2870    -167.0887      13.1252
     43  1929    109230   22830  -3761147.0974   3636710.6318   3636230.7055      12.7814    -167.7864       9.4377
     44  1929    109231   22831  -3761143.9285   3636707.3172   3636227.4939      12.9615    -167.7907       3.8422
     45  1929    109232   22832  -3761147.0586   3636709.4454   3636227.8199      13.6074    -169.6619       7.0848
     46  1929    109233   22833  -3761148.0637   3636713.1333   3636228.8274      11.6548    -170.7204      10.3549
     47  1929    109234   22834  -3761149.0805   3636715.5027   3636230.2699      10.6582    -170.9019      13.1302
     48  1929    109235   22835  -3761152.1708   3636718.1896   3636229.8174      10.8747    -173.6171      16.2213
     49  1929    109236   22836  -3761153.7915   3636719.6568   3636229.3525      10.9465    -175.2507      17.7450
     50  1929    109237   22837  -3761153.8459   3636719.0964   3636227.0852      11.3872    -176.9075      16.1580
     51  1929    109238   22838  -3761152.0013   3636717.5747   3636222.8830      11.1990    -178.9837      11.7956
     52  1929    109239   22839  -3761151.3888   3636718.5816   3636219.1661      10.0493    -182.1779       9.8773
     53  1929    109240   22840  -3761157.2985   3636725.2115   3636221.2121       9.3910    -185.5795      18.3072
     54  1929    109241   22841  -3761162.9492   3636729.1450   3636222.5039      10.4911    -188.4177      24.6164
     55  1929    109242   22842  -3761165.6051   3636731.4396   3636222.0081      10.6877    -190.8331      27.2033
     56  1929    109243   22843  -3761165.6265   3636732.7460   3636220.7761       9.7635    -192.3719      27.2536
     57  1929    109244   22844  -3761167.4394   3636736.4838   3636219.7698       8.3365    -195.4332      29.8733
     58  1929    109245   22845  -3761170.7901   3636737.9079   3636220.4231       9.6419    -196.8465      33.0325
     59  1929    109246   22846  -3761171.5152   3636739.1279   3636218.9388       9.2689    -198.8477      33.3034
     60  1929    109247   22847  -3761170.2888   3636738.0101   3636215.9404       9.2199    -200.3535      30.2254
     61  1929    109248   22848  -3761172.8633   3636740.2140   3636216.5232       9.4251    -201.8153      33.3311
     62  1929    109249   22849  -3761172.2897   3636739.9203   3636213.1932       9.2376    -204.1903      30.9169
     63  1929    109250   22850  -3761170.8499   3636740.4766   3636212.3642       7.8368    -204.4977      29.9104
     64  1929    109251   22851  -3761171.6237   3636741.6876   3636211.1356       7.5041    -206.3059      30.3514
     65  1929    109252   22852  -3761169.8881   3636740.7034   3636206.5868       7.0052    -208.9253      26.1607
     66  1929    109253   22853  -3761167.1594   3636739.4854   3636203.6533       5.9841    -209.7187      22.1779
     67  1929    109254   22854  -3761168.2835   3636741.1110   3636202.7939       5.5968    -211.5340      23.2732
     68  1929    109255   22855  -3761166.4529   3636740.0201   3636201.3154       5.1085    -211.5561      20.7259
