% 2017îN 1åé 19ì˙ 15éû 2ï™ 43.136000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  AndroidOBS.17o
Ephemeris_N File :  AndroidOBS.17n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2017/ 1/19  4:53:48
END         TIME :  2017/ 1/19  4:58: 6
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1932    363228   17628  -3761115.6655   3636668.6021   3636296.5273      21.1475     -84.1518       4.7239
      2  1932    363229   17629  -3761115.6037   3636668.5810   3636296.5035      21.1198     -84.1374       4.6619
      3  1932    363230   17630  -3761115.7006   3636668.5327   3636296.4251      21.2219     -84.2223       4.6465
      4  1932    363231   17631  -3761115.8880   3636668.5028   3636296.3761      21.3737     -84.3277       4.7117
      5  1932    363232   17632  -3761116.0431   3636668.3530   3636296.1102      21.5892     -84.5498       4.5653
      6  1932    363233   17633  -3761116.4410   3636667.9986   3636295.7239      22.1206     -84.8892       4.3764
      7  1932    363234   17634  -3761116.6970   3636667.7923   3636295.5931      22.4467     -85.0196       4.3347
      8  1932    363235   17635  -3761117.1869   3636667.6104   3636295.0738      22.9181     -85.5745       4.2219
      9  1932    363236   17636  -3761117.4668   3636667.6568   3636294.5421      23.0793     -86.1440       4.1084
     10  1932    363237   17637  -3761117.8989   3636667.5196   3636293.8287      23.4783     -86.8519       3.8758
     11  1932    363238   17638  -3761117.6351   3636667.8874   3636292.9507      23.0305     -87.6091       3.4265
     12  1932    363240   17640  -3761117.8100   3636668.3051   3636292.4027      22.8518     -88.2967       3.4531
     13  1932    363241   17641  -3761118.3222   3636668.7529   3636291.8907      22.8859     -89.1058       3.7164
     14  1932    363242   17642  -3761120.0463   3636669.0799   3636291.3070      23.8493     -90.4249       4.5835
     15  1932    363243   17643  -3761120.8106   3636669.2363   3636290.2379      24.2681     -91.6782       4.5098
     16  1932    363243   17643  -3761121.4180   3636669.3875   3636289.3248      24.5816     -92.7370       4.4302
     17  1932    363245   17645  -3761121.6857   3636669.5413   3636287.5143      24.6571     -94.3920       3.6375
     18  1932    363246   17646  -3761121.7247   3636669.8064   3636286.8598      24.4937     -95.0499       3.4361
     19  1932    363247   17647  -3761122.2312   3636669.7375   3636284.3610      24.8953     -97.2786       2.2627
     20  1932    363248   17648  -3761121.8401   3636671.1630   3636282.7199      23.5987     -99.0300       1.9033
     21  1932    363248   17648  -3761121.4779   3636672.4514   3636281.3416      22.4206    -100.5235       1.6335
     22  1932    363250   17650  -3761121.8357   3636672.5692   3636279.7059      22.5846    -102.0582       0.9735
     23  1932    363251   17651  -3761121.8216   3636672.7775   3636279.2791      22.4251    -102.4851       0.8392
     24  1932    363252   17652  -3761122.5981   3636673.0832   3636277.2726      22.7451    -104.5708       0.3203
     25  1932    363253   17653  -3761123.5919   3636673.3475   3636276.1123      23.2459    -106.0364       0.3909
     26  1932    363254   17654  -3761123.7332   3636673.5898   3636275.3514      23.1700    -106.8147       0.1759
     27  1932    363255   17655  -3761124.5801   3636673.9458   3636274.0085      23.5027    -108.4059       0.1076
     28  1932    363256   17656  -3761125.3722   3636673.7217   3636272.8807      24.2144    -109.5671      -0.2001
     29  1932    363257   17657  -3761126.1434   3636673.9978   3636271.9062      24.5520    -110.7935      -0.1473
     30  1932    363258   17658  -3761126.2708   3636674.4178   3636270.5832      24.3387    -112.0973      -0.5915
     31  1932    363259   17659  -3761126.9539   3636674.9224   3636269.3657      24.4507    -113.5775      -0.5998
     32  1932    363260   17660  -3761127.5665   3636675.4137   3636267.7128      24.5233    -115.3801      -0.9068
     33  1932    363261   17661  -3761128.6086   3636676.5135   3636266.7372      24.4571    -117.0472      -0.2260
     34  1932    363262   17662  -3761130.1219   3636677.0465   3636265.3324      25.1258    -119.0343       0.1635
     35  1932    363263   17663  -3761130.9884   3636677.5009   3636264.1672      25.4015    -120.5272       0.2647
