% 2017îN 1åé 27ì˙ 12éû 29ï™ 45.800000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  AndroidOBS.17o
Ephemeris_N File :  AndroidOBS.17n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2017/ 1/26  4:24:56
END         TIME :  2017/ 1/26  4:29:13
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1933    361497   15897  -3761124.8657   3636664.4735   3636293.5247      30.5108     -88.7584       6.0701
      2  1933    361497   15897  -3761123.0178   3636665.9323   3636295.6987      28.1776     -86.7970       7.0589
      3  1933    361498   15898  -3761123.1054   3636666.8521   3636293.6662      27.5773     -88.8649       6.4692
      4  1933    361499   15899  -3761123.5716   3636669.7228   3636293.3826      25.8376     -90.4335       8.2160
      5  1933    361500   15900  -3761123.7778   3636670.5168   3636291.2330      25.4101     -92.5962       7.5573
      6  1933    361501   15901  -3761123.9987   3636672.9552   3636289.5118      23.8107     -95.0692       8.0893
      7  1933    361502   15902  -3761124.7151   3636675.2602   3636288.7025      22.6516     -96.9462       9.3601
      8  1933    361503   15903  -3761125.9031   3636677.1139   3636287.5800      22.1448     -99.0942      10.4721
      9  1933    361504   15904  -3761126.1253   3636678.5915   3636285.8634      21.2370    -101.1812      10.4602
     10  1933    361505   15905  -3761127.9352   3636679.4644   3636285.2484      21.8677    -102.7789      11.6709
     11  1933    361506   15906  -3761129.6474   3636680.9971   3636283.6967      21.9559    -105.3668      12.6626
     12  1933    361507   15907  -3761131.3515   3636682.1584   3636282.1181      22.3056    -107.8253      13.4228
     13  1933    361508   15908  -3761133.1389   3636682.5198   3636280.1918      23.2883    -110.2842      13.5770
     14  1933    361509   15909  -3761134.1939   3636683.7695   3636278.9530      23.1232    -112.2322      14.1999
     15  1933    361510   15910  -3761135.7342   3636684.4180   3636277.1469      23.7277    -114.6053      14.4411
     16  1933    361511   15911  -3761135.9527   3636684.8906   3636275.5507      23.5398    -116.1915      13.9238
     17  1933    361512   15912  -3761135.7130   3636685.9067   3636274.4270      22.6428    -117.4183      13.7170
     18  1933    361513   15913  -3761135.9439   3636686.7144   3636272.6583      22.2226    -119.2845      13.2990
     19  1933    361514   15914  -3761136.2083   3636687.9770   3636271.3747      21.4987    -120.9484      13.4379
     20  1933    361515   15915  -3761136.4041   3636688.9261   3636269.9338      20.9525    -122.5879      13.2677
     21  1933    361517   15917  -3761138.4814   3636689.1099   3636267.8224      22.2643    -125.2472      13.3854
     22  1933    361518   15918  -3761138.5949   3636689.5158   3636265.8738      22.0514    -127.0523      12.5663
     23  1933    361519   15919  -3761138.0099   3636691.1913   3636264.5608      20.4403    -128.5547      12.4232
     24  1933    361520   15920  -3761137.4042   3636692.1100   3636262.8270      19.3588    -130.0917      11.5957
     25  1933    361521   15921  -3761138.0579   3636692.5638   3636262.2285      19.4870    -131.0324      11.8960
     26  1933    361522   15922  -3761138.7302   3636694.0039   3636261.7109      18.9190    -132.3075      12.8154
     27  1933    361523   15923  -3761138.3993   3636694.0401   3636259.5884      18.6629    -133.9246      11.4242
     28  1933    361524   15924  -3761139.7075   3636694.4914   3636256.9432      19.2479    -136.8109      10.9353
     29  1933    361525   15925  -3761139.4781   3636694.1038   3636255.1385      19.3670    -138.0405       9.5447
     30  1933    361526   15926  -3761139.8785   3636695.9547   3636253.5710      18.3147    -140.2275       9.9361
     31  1933    361527   15927  -3761141.4134   3636695.8243   3636251.7485      19.4754    -142.3014       9.7209
     32  1933    361528   15928  -3761142.9322   3636697.6347   3636250.7811      19.2297    -144.4415      11.0920
     33  1933    361529   15929  -3761143.8002   3636698.1359   3636248.6438      19.4727    -146.7501      10.6634
     34  1933    361530   15930  -3761142.9792   3636698.9584   3636245.6086      18.3107    -149.2263       8.9080
     35  1933    361531   15931  -3761144.5923   3636698.2870   3636243.1284      19.9147    -151.6557       8.0538
     36  1933    361532   15932  -3761144.0881   3636699.1359   3636240.7025      18.9539    -153.7739       6.8495
     37  1933    361533   15933  -3761145.4990   3636699.8710   3636239.1629      19.4062    -155.9098       7.2165
     38  1933    361534   15934  -3761146.8594   3636699.1285   3636237.8826      20.8857    -157.2236       6.8609
     39  1933    361535   15935  -3761145.8359   3636699.9204   3636236.7021      19.6049    -158.0845       6.0322
     40  1933    361536   15936  -3761146.1438   3636700.1155   3636236.6942      19.6787    -158.2956       6.3202
     41  1933    361537   15937  -3761145.6451   3636701.6107   3636235.9664      18.2571    -159.2822       6.4608
     42  1933    361538   15938  -3761146.7746   3636702.1477   3636233.6017      18.6562    -161.8993       6.0762
     43  1933    361539   15939  -3761147.0451   3636702.3265   3636232.2236      18.7157    -163.2112       5.5472
     44  1933    361540   15940  -3761147.4888   3636704.7548   3636230.6242      17.2784    -165.6722       6.2746
     45  1933    361541   15941  -3761148.1150   3636706.5143   3636228.5688      16.4488    -168.3156       6.4671
     46  1933    361542   15942  -3761148.6313   3636708.8165   3636225.9786      15.1527    -171.5681       6.5973
     47  1933    361543   15943  -3761149.6209   3636710.5866   3636224.0701      14.5680    -174.2450       7.0942
     48  1933    361544   15944  -3761149.3411   3636711.7635   3636223.2565      13.5275    -175.2654       7.1331
     49  1933    361545   15945  -3761149.6582   3636713.5823   3636222.4183      12.4403    -176.8077       7.8753
     50  1933    361546   15946  -3761150.0266   3636717.3316   3636222.1201      10.0011    -178.6980      10.0566
     51  1933    361547   15947  -3761151.1963   3636717.1247   3636219.8807      10.9629    -180.9325       9.3438
     52  1933    361548   15948  -3761152.3906   3636717.2498   3636218.0060      11.7031    -183.0106       9.0438
     53  1933    361549   15949  -3761153.1994   3636720.1621   3636215.9641      10.1717    -186.1775      10.0082
     54  1933    361550   15950  -3761154.6566   3636720.3343   3636215.4602      11.0608    -187.2596      10.6756
     55  1933    361551   15951  -3761156.7176   3636722.6894   3636214.5034      10.8004    -189.8316      12.6823
     56  1933    361552   15952  -3761158.5365   3636723.3854   3636214.7772      11.5644    -190.6344      14.3070
     57  1933    361553   15953  -3761162.9781   3636722.6894   3636214.8226      15.1521    -192.1504      16.5528
     58  1933    361554   15954  -3761165.1100   3636722.1697   3636214.1196      17.0077    -193.3980      17.1095
     59  1933    361555   15955  -3761165.2315   3636721.9555   3636212.4025      17.2461    -194.7695      16.0747
     60  1933    361556   15956  -3761165.1081   3636722.1001   3636210.2323      17.0564    -196.5544      14.8401
     61  1933    361557   15957  -3761167.0948   3636723.0780   3636210.1518      17.7344    -197.8289      16.5211
     62  1933    361557   15957  -3761167.8953   3636723.9323   3636209.0823      17.6767    -199.3757      16.8660
     63  1933    361558   15958  -3761168.3992   3636724.9476   3636208.1844      17.2970    -200.7236      17.2262
     64  1933    361560   15960  -3761168.5695   3636725.1132   3636206.3401      17.2964    -202.3709      16.3635
     65  1933    361561   15961  -3761168.8217   3636726.2235   3636204.2379      16.6735    -204.6396      15.9391
     66  1933    361562   15962  -3761168.6310   3636726.9591   3636203.2119      16.0121    -205.6949      15.6575
     67  1933    361563   15963  -3761168.2313   3636728.3686   3636202.0834      14.7210    -207.0164      15.5779
     68  1933    361564   15964  -3761169.7447   3636730.3856   3636201.9262      14.3230    -208.5729      17.5278
