% 2017îN 5åé 23ì˙ 13éû 53ï™ 49.422000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  AndroidOBS.17o
Ephemeris_N File :  AndroidOBS.17n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2017/ 1/27  4:28:2.939516e+001
END         TIME :  2017/ 1/27  4:32:3.740296e+001
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1933    448109   16109  -3761117.5331   3636660.9217   3636301.1159      27.9673     -78.1011       4.0805
      2  1933    448110   16110  -3761111.1808   3636654.7887   3636290.6332      27.9606     -81.6275      -9.1640
      3  1933    448111   16111  -3761111.4801   3636658.0697   3636289.4480      25.8100     -84.0295      -7.7986
      4  1933    448112   16112  -3761110.4522   3636657.9503   3636287.5409      25.1813     -85.1208      -9.5654
      5  1933    448113   16113  -3761112.8732   3636661.0352   3636287.2764      24.6464     -87.5648      -6.5341
      6  1933    448114   16114  -3761116.3485   3636664.8612   3636288.0768      24.3117     -89.8662      -1.8493
      7  1933    448115   16115  -3761114.6178   3636664.6384   3636285.4303      23.2689     -91.2324      -4.5128
      8  1933    448116   16116  -3761114.1809   3636664.8958   3636282.7000      22.7801     -93.3919      -6.1888
      9  1933    448117   16117  -3761115.1809   3636667.2698   3636281.5009      21.7686     -95.7327      -4.9353
     10  1933    448118   16118  -3761116.2874   3636669.4335   3636280.3679      20.9822     -97.9793      -3.7008
     11  1933    448119   16119  -3761115.5782   3636669.3122   3636277.6636      20.5765     -99.8544      -5.7381
     12  1933    448120   16120  -3761118.3621   3636672.0837   3636277.7518      20.5191    -102.0340      -2.4693
     13  1933    448121   16121  -3761117.4073   3636671.2352   3636274.8382      20.4655    -103.6895      -5.1853
     14  1933    448122   16122  -3761119.7907   3636673.5206   3636274.2045      20.4792    -106.1019      -2.8432
     15  1933    448124   16124  -3761119.0705   3636672.1926   3636272.2958      20.9333    -106.8397      -5.1180
     16  1933    448125   16125  -3761114.8278   3636666.1098   3636266.5947      22.3570    -107.3379     -14.3500
     17  1933    448126   16126  -3761126.2858   3636678.8118   3636275.7103      21.1903    -109.6539       4.8593
     18  1933    448127   16127  -3761116.7582   3636668.3778   3636264.6195      22.0685    -110.6557     -13.0537
     19  1933    448128   16128  -3761118.1524   3636669.7155   3636264.2416      22.0759    -112.0731     -11.6873
     20  1933    448129   16129  -3761124.5598   3636675.8239   3636267.7941      22.1385    -114.2377      -2.3976
     21  1933    448130   16130  -3761122.4870   3636674.6196   3636263.1729      21.5633    -116.6897      -6.9538
     22  1933    448131   16131  -3761124.4756   3636676.5634   3636262.9028      21.5483    -118.5052      -4.8303
     23  1933    448132   16132  -3761121.5774   3636674.7969   3636258.7911      20.8036    -119.9756      -9.9008
     24  1933    448133   16133  -3761123.7528   3636676.3974   3636258.7636      21.1652    -121.5326      -7.7237
     25  1933    448134   16134  -3761129.1223   3636681.4915   3636260.9862      21.2355    -123.9547      -0.3854
     26  1933    448135   16135  -3761123.9166   3636676.3075   3636254.0529      21.3437    -125.4239     -10.3791
     27  1933    448136   16136  -3761122.8694   3636675.0509   3636252.4372      21.5191    -125.8152     -12.6380
     28  1933    448137   16137  -3761128.7124   3636680.5648   3636255.9048      21.6168    -127.5798      -4.0680
     29  1933    448138   16138  -3761127.5319   3636679.8329   3636252.6485      21.3224    -129.4696      -7.0471
     30  1933    448139   16139  -3761128.6096   3636680.9738   3636251.2047      21.2513    -131.5514      -6.5903
     31  1933    448140   16140  -3761131.2330   3636684.2521   3636252.0091      20.7181    -133.2801      -2.7167
     32  1933    448141   16141  -3761126.1257   3636679.9379   3636245.6448      20.2694    -134.6701     -11.8309
     33  1933    448142   16142  -3761129.5758   3636683.0078   3636246.6333      20.4606    -136.5057      -7.4836
     34  1933    448143   16143  -3761130.6506   3636684.7204   3636245.3474      19.9766    -138.6848      -6.6124
     35  1933    448144   16144  -3761137.0169   3636691.2255   3636248.5116      19.7254    -141.3086       2.6564
     36  1933    448145   16145  -3761129.3701   3636683.2697   3636238.5202      20.1294    -143.1726     -12.1070
     37  1933    448146   16146  -3761130.5840   3636683.3776   3636237.6217      20.8956    -144.4521     -11.8458
     38  1933    448147   16147  -3761138.6630   3636690.4158   3636242.8925      21.4518    -146.2684      -0.0567
     39  1933    448148   16148  -3761132.6082   3636684.6506   3636234.7900      21.3875    -148.1138     -11.5519
     40  1933    448149   16149  -3761135.6307   3636687.7540   3636237.3730      21.2576    -148.4800      -6.5232
     41  1933    448150   16150  -3761134.7098   3636687.1829   3636234.9627      21.0279    -149.8476      -8.7728
     42  1933    448151   16151  -3761137.1031   3636689.2134   3636236.6712      21.2318    -150.2435      -5.2271
     43  1933    448152   16152  -3761138.9773   3636691.5741   3636236.8117      20.8375    -151.8416      -2.6982
     44  1933    448153   16153  -3761134.9271   3636688.3166   3636230.8635      20.3640    -153.7477     -10.3493
     45  1933    448154   16154  -3761140.1053   3636694.7809   3636235.1352      19.3163    -154.9581      -1.1686
     46  1933    448155   16155  -3761138.6144   3636694.9428   3636232.7546      18.1635    -156.3587      -3.3195
     47  1933    448156   16156  -3761141.7283   3636699.8952   3636233.3881      16.7678    -159.0967       1.6985
     48  1933    448157   16157  -3761140.1108   3636701.1157   3636230.0948      14.7660    -161.6148      -0.4473
     49  1933    448158   16158  -3761140.2909   3636702.9361   3636228.8373      13.5825    -163.4448      -0.0253
     50  1933    448159   16159  -3761136.9814   3636700.8267   3636224.6506      12.7985    -164.6704      -5.5764
     51  1933    448160   16160  -3761138.4309   3636704.3714   3636224.2100      11.2578    -167.0414      -2.9564
     52  1933    448161   16161  -3761138.0023   3636704.9595   3636222.3970      10.5371    -168.5846      -3.9134
     53  1933    448162   16162  -3761135.7412   3636703.9224   3636218.7312       9.7109    -170.2428      -7.9375
     54  1933    448163   16163  -3761140.3985   3636709.4899   3636222.1159       8.9458    -171.6080      -0.0829
     55  1933    448164   16164  -3761137.0925   3636708.0875   3636216.9408       7.6559    -173.9267      -5.7959
     56  1933    448165   16165  -3761136.9997   3636708.3985   3636214.8035       7.3678    -175.7635      -6.8988
     57  1933    448166   16166  -3761136.3137   3636707.3495   3636211.8144       7.6451    -177.5118      -9.6141
