% 2017îN 12åé 19ì˙ 15éû 10ï™ 43.609000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2017_12_18_7_6.17o
Ephemeris_N File :  2017_12_18_7_6.17n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2017/12/18  7: 6:11
END         TIME :  2017/12/18  7: 7:39
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1980    111971   25571  -3761096.8857   3636707.5977   3636340.2633     -19.9404     -56.1180      40.9463
      2  1980    111972   25572  -3761096.6969   3636703.3168   3636343.7830     -16.9941     -51.4504      40.4150
      3  1980    111973   25573  -3761094.5127   3636710.2974   3636338.4741     -23.5307     -57.6818      40.0604
      4  1980    111974   25574  -3761093.8660   3636709.8016   3636339.0812     -23.6237     -56.7203      39.7451
      5  1980    111975   25575  -3761095.5585   3636707.9656   3636338.4749     -21.1274     -57.1829      39.3488
      6  1980    111976   25576  -3761094.0399   3636711.4021   3636336.1249     -24.6535     -59.8520      39.0642
      7  1980    111977   25577  -3761093.0690   3636709.6048   3636336.8618     -24.0364     -58.1317      37.8912
      8  1980    111978   25578  -3761092.1713   3636710.6941   3636335.5353     -25.4434     -59.2827      37.2223
      9  1980    111979   25579  -3761091.8792   3636711.3814   3636335.3504     -26.1405     -59.5878      37.3357
     10  1980    111980   25580  -3761093.0370   3636711.6999   3636334.5934     -25.5647     -60.8121      37.7650
     11  1980    111981   25581  -3761091.5377   3636712.1186   3636334.4762     -26.9079     -60.4571      37.0532
     12  1980    111982   25582  -3761091.5438   3636711.5794   3636334.5864     -26.5160     -60.1544      36.8129
     13  1980    111983   25583  -3761091.4488   3636712.0486   3636333.8899     -26.9194     -60.8728      36.6249
     14  1980    111984   25584  -3761091.8034   3636713.0524   3636332.7729     -27.3945     -62.3342      36.7650
     15  1980    111985   25585  -3761090.6121   3636714.8948   3636331.9377     -29.5471     -63.2618      36.6338
     16  1980    111986   25586  -3761091.2496   3636715.4304   3636331.2924     -29.4890     -64.2667      36.9443
     17  1980    111987   25587  -3761091.1361   3636716.9817   3636330.2680     -30.6831     -65.6775      37.1736
     18  1980    111988   25588  -3761090.9651   3636717.9862   3636329.1677     -31.5241     -66.9088      37.0143
     19  1980    111989   25589  -3761090.6966   3636719.1633   3636328.1526     -32.5569     -68.0990      36.9444
     20  1980    111990   25590  -3761090.6767   3636720.4621   3636327.1522     -33.5046     -69.4280      37.0989
     21  1980    111991   25591  -3761090.5772   3636720.9669   3636326.5367     -33.9365     -70.0925      36.9749
     22  1980    111992   25592  -3761090.1975   3636721.5912   3636325.6910     -34.6494     -70.8777      36.6220
     23  1980    111993   25593  -3761089.5404   3636721.5909   3636325.5424     -35.1059     -70.7285      36.1496
     24  1980    111994   25594  -3761089.4893   3636722.1187   3636325.2470     -35.5209     -71.1598      36.2507
     25  1980    111995   25595  -3761089.3349   3636722.4116   3636324.4467     -35.8388     -71.8687      35.8677
     26  1980    111996   25596  -3761089.0477   3636722.2201   3636324.1351     -35.9007     -71.9293      35.4109
     27  1980    111997   25597  -3761088.5550   3636721.8175   3636324.0179     -35.9537     -71.6617      34.8242
     28  1980    111998   25598  -3761088.0802   3636722.4720   3636323.5186     -36.7543     -72.1359      34.6310
     29  1980    111999   25599  -3761087.2896   3636724.0077   3636322.3922     -38.4079     -73.3450      34.3942
     30  1980    112000   25600  -3761086.3635   3636724.0666   3636322.0122     -39.0939     -73.2982      33.6644
     31  1980    112001   25601  -3761085.7094   3636725.3360   3636321.2371     -40.4612     -74.1695      33.5576
     32  1980    112002   25602  -3761085.0200   3636726.7436   3636319.7842     -41.9523     -75.6368      33.1203
     33  1980    112003   25603  -3761084.4813   3636728.0968   3636318.6166     -43.2996     -76.9106      32.9042
     34  1980    112004   25604  -3761084.0372   3636729.0292   3636317.7946     -44.2786     -77.7727      32.7024
     35  1980    112005   25605  -3761083.9088   3636729.6716   3636316.6937     -44.8297     -78.8778      32.3615
     36  1980    112006   25606  -3761084.6006   3636729.1757   3636315.5374     -43.9924     -79.9127      31.8236
     37  1980    112007   25607  -3761084.8802   3636729.0775   3636313.8618     -43.7273     -81.3616      30.9717
     38  1980    112008   25608  -3761084.3609   3636727.1145   3636313.5324     -42.6771     -80.6352      29.3589
     39  1980    112009   25609  -3761083.9693   3636728.6818   3636313.1986     -44.0761     -81.3718      29.8296
     40  1980    112010   25610  -3761082.8834   3636729.3906   3636312.4913     -45.3404     -81.7862      29.1881
     41  1980    112011   25611  -3761082.6649   3636730.1181   3636312.0546     -46.0154     -82.3440      29.2234
     42  1980    112012   25612  -3761082.6443   3636732.1840   3636311.0049     -47.5148     -84.0188      29.7860
     43  1980    112013   25613  -3761080.9549   3636733.2259   3636310.0395     -49.4382     -84.5287      28.8308
     44  1980    112014   25614  -3761079.1562   3636733.6094   3636309.3737     -50.9642     -84.4857      27.6081
     45  1980    112015   25615  -3761078.6252   3636734.9760   3636308.4931     -52.3157     -85.5330      27.5688
     46  1980    112016   25616  -3761076.9744   3636735.6705   3636307.7256     -53.9625     -85.7582      26.5520
     47  1980    112017   25617  -3761076.6786   3636736.3243   3636307.3007     -54.6381     -86.2450      26.5065
     48  1980    112018   25618  -3761076.1311   3636737.8566   3636306.3410     -56.1203     -87.4163      26.5065
     49  1980    112019   25619  -3761075.5644   3636739.4721   3636305.3185     -57.6756     -88.6643      26.5065
     50  1980    112020   25620  -3761074.9817   3636741.0860   3636304.3003     -59.2409     -89.9016      26.4987
     51  1980    112021   25621  -3761074.4088   3636742.7028   3636303.2810     -60.8014     -91.1450      26.4977
     52  1980    112022   25622  -3761073.8406   3636744.3225   3636302.2559     -62.3608     -92.3961      26.4977
     53  1980    112023   25623  -3761073.5523   3636745.1333   3636301.7465     -63.1440     -93.0178      26.4977
     54  1980    112024   25624  -3761072.9660   3636746.7567   3636300.7362     -64.7187     -94.2508      26.4977
     55  1980    112025   25625  -3761072.3773   3636748.3805   3636299.7279     -66.2952     -95.4815      26.4977
     56  1980    112026   25626  -3761071.7906   3636750.0007   3636298.7159     -67.8678     -96.7146      26.4947
     57  1980    112027   25627  -3761071.2442   3636751.5688   3636297.7122     -69.3749     -97.9366      26.4905
     58  1980    112028   25628  -3761070.9591   3636752.3478   3636297.2303     -70.1331     -98.5244      26.4899
     59  1980    112029   25629  -3761070.3827   3636753.9284   3636296.2507     -71.6701     -99.7193      26.4890
     60  1980    112030   25630  -3761069.7860   3636755.5424   3636295.2610     -73.2452    -100.9275      26.4893
     61  1980    112031   25631  -3761069.2271   3636757.1638   3636294.2243     -74.7992    -102.1927      26.4892
     62  1980    112032   25632  -3761069.6801   3636757.3167   3636293.2690     -74.5943    -103.2230      26.2954
     63  1980    112033   25633  -3761069.2138   3636764.5619   3636287.8739     -80.1270    -110.3387      27.0539
     64  1980    112034   25634  -3761065.9864   3636777.2404   3636280.9326     -91.4849    -119.7483      28.3941
     65  1980    112035   25635  -3761064.5603   3636784.0182   3636277.2979     -97.3488    -124.8397      29.3305
     66  1980    112036   25636  -3761061.5104   3636793.5331   3636272.4362    -106.3090    -131.3580      30.1657
     67  1980    112037   25637  -3761061.2736   3636798.4255   3636270.2301    -109.9908    -135.0177      31.5478
     68  1980    112038   25638  -3761060.3659   3636802.2488   3636268.3391    -113.3703    -137.7166      32.1065
     69  1980    112039   25639  -3761060.1428   3636803.6643   3636267.6718    -114.5430    -138.7355      32.3986
     70  1980    112040   25640  -3761060.1771   3636806.0203   3636266.4932    -116.2128    -140.6542      33.0850
     71  1980    112041   25641  -3761059.7996   3636810.3243   3636264.2983    -119.5694    -144.0122      34.0555
     72  1980    112042   25642  -3761059.3887   3636809.0890   3636264.9082    -118.9670    -142.8508      33.4596
     73  1980    112043   25643  -3761059.1342   3636809.1108   3636264.7551    -119.1595    -142.8800      33.2343
     74  1980    112044   25644  -3761059.4256   3636807.4729   3636265.6645    -117.7795    -141.6023      32.9945
     75  1980    112045   25645  -3761058.9671   3636808.5569   3636264.4899    -118.8775    -142.8078      32.6684
     76  1980    112046   25646  -3761058.7294   3636807.0654   3636265.3920    -117.9705    -141.3763      32.1961
     77  1980    112047   25647  -3761057.8330   3636808.7556   3636264.1745    -119.8087    -142.6780      31.9327
     78  1980    112048   25648  -3761057.5005   3636808.0060   3636264.4180    -119.5009    -142.0426      31.4496
     79  1980    112049   25649  -3761057.4965   3636807.5577   3636264.7616    -119.1814    -141.5808      31.3889
     80  1980    112050   25650  -3761057.2521   3636807.0813   3636264.7392    -119.0088    -141.3086      30.9607
     81  1980    112051   25651  -3761057.4030   3636807.0393   3636264.9073    -118.8737    -141.2163      31.1220
     82  1980    112052   25652  -3761057.2561   3636807.4897   3636264.5933    -119.2996    -141.5926      31.1121
     83  1980    112053   25653  -3761057.2375   3636808.2975   3636264.0983    -119.8933    -142.3123      31.2774
     84  1980    112054   25654  -3761057.0700   3636809.2093   3636263.6503    -120.6653    -142.9737      31.4412
     85  1980    112055   25655  -3761056.4975   3636810.0890   3636263.2155    -121.6956    -143.4446      31.3557
     86  1980    112056   25656  -3761056.3757   3636810.4744   3636263.0339    -122.0573    -143.6967      31.3993
     87  1980    112057   25657  -3761055.8395   3636810.2989   3636262.8168    -122.3038    -143.5837      30.8590
     88  1980    112058   25658  -3761055.6084   3636809.8671   3636263.0556    -122.1541    -143.1207      30.6139
     89  1980    112059   25659  -3761055.1141   3636809.7818   3636262.6900    -122.4363    -143.1825      30.0646
