% 2018îN 12åé 6ì˙ 15éû 25ï™ 58.835000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2017_12_19_6_24.17o
Ephemeris_N File :  2017_12_19_6_24.17n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2017/12/19  6:24:44
END         TIME :  2017/12/19  6:26: 1
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1980    195884   23084  -3761072.3687   3636687.4097   3636324.6369     -22.4694     -50.7708       6.0488
      2  1980    195885   23085  -3761070.5872   3636687.9448   3636325.2092     -24.0925     -49.7810       5.6324
      3  1980    195886   23086  -3761069.9388   3636688.1880   3636325.2094     -24.7180     -49.6104       5.3891
      4  1980    195887   23087  -3761068.2000   3636690.0370   3636323.7279     -27.2559     -50.8445       4.5686
      5  1980    195888   23088  -3761068.2079   3636690.7013   3636321.7315     -27.7280     -52.7481       3.8070
      6  1980    195889   23089  -3761067.5693   3636690.4698   3636321.6061     -28.0055     -52.4955       3.2271
      7  1980    195890   23090  -3761067.5375   3636690.3667   3636322.0639     -27.9534     -52.0662       3.4121
      8  1980    195891   23091  -3761067.1077   3636689.6072   3636323.4915     -27.7062     -50.4167       3.5449
      9  1980    195892   23092  -3761066.3194   3636688.7892   3636324.4260     -27.6661     -49.0001       3.1505
     10  1980    195893   23093  -3761066.2880   3636690.4882   3636323.0522     -28.9094     -50.7899       3.3120
     11  1980    195894   23094  -3761065.7051   3636690.0288   3636323.7835     -28.9842     -49.7673       3.1263
     12  1980    195895   23095  -3761066.3804   3636691.2289   3636322.1904     -29.3776     -51.8293       3.2942
     13  1980    195896   23096  -3761066.8321   3636692.8082   3636320.3218     -30.1990     -54.1758       3.3884
     14  1980    195897   23097  -3761066.4749   3636694.5230   3636318.0920     -31.6801     -56.5389       2.8762
     15  1980    195898   23098  -3761067.5721   3636696.4347   3636314.8794     -32.2917     -60.3852       2.7693
     16  1980    195899   23099  -3761068.0966   3636697.7288   3636312.8431     -32.8574     -62.7854       2.6479
     17  1980    195900   23100  -3761068.1155   3636698.6689   3636312.1476     -33.5201     -63.7378       2.7958
     18  1980    195901   23101  -3761068.4143   3636699.2077   3636311.7316     -33.6998     -64.4165       3.0401
     19  1980    195902   23102  -3761068.3004   3636699.8133   3636311.7339     -34.2143     -64.6090       3.3192
     20  1980    195903   23103  -3761067.9347   3636699.8524   3636312.1024     -34.4966     -64.1719       3.3373
     21  1980    195904   23104  -3761067.6300   3636700.4359   3636312.4401     -35.1279     -64.0022       3.6838
     22  1980    195905   23105  -3761067.8607   3636701.2073   3636311.7909     -35.5221     -64.9366       3.8868
     23  1980    195906   23106  -3761067.2450   3636701.3100   3636312.0480     -36.0239     -64.5131       3.7300
     24  1980    195907   23107  -3761067.3298   3636701.2215   3636313.3232     -35.9013     -63.4680       4.4607
     25  1980    195908   23108  -3761066.5247   3636700.4314   3636314.3894     -35.8930     -61.9477       4.1478
     26  1980    195909   23109  -3761065.7999   3636699.7006   3636315.4735     -35.8714     -60.4695       3.9262
     27  1980    195910   23110  -3761065.5232   3636699.4104   3636316.0364     -35.8551     -59.7787       3.9207
     28  1980    195911   23111  -3761065.3852   3636699.1582   3636317.2607     -35.7697     -58.6182       4.3976
     29  1980    195912   23112  -3761064.8952   3636698.6562   3636318.4099     -35.7494     -57.2745       4.4820
     30  1980    195913   23113  -3761064.6542   3636698.3406   3636319.6157     -35.6901     -56.0615       4.8516
     31  1980    195914   23114  -3761064.1339   3636697.7758   3636320.7499     -35.6457     -54.6927       4.8737
     32  1980    195915   23115  -3761063.8388   3636697.4020   3636321.9334     -35.5821     -53.4524       5.1656
     33  1980    195916   23116  -3761063.6629   3636697.1610   3636323.1470     -35.5311     -52.2895       5.6205
     34  1980    195917   23117  -3761063.3829   3636696.8943   3636323.7138     -35.5341     -51.6034       5.6286
     35  1980    195918   23118  -3761062.9657   3636696.4865   3636324.8791     -35.5309     -50.3142       5.8187
