% 2018îN 4åé 19ì˙ 16éû 52ï™ 36.640000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2018_4_18_8_9.18o
Ephemeris_N File :  brdc1080.18n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2018/ 4/18  8: 9:54
END         TIME :  2018/ 4/18  8:11: 3
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1997    288594   29394  -3761071.1411   3636717.3867   3636332.9990     -44.8731     -55.3601      27.1928
      2  1997    288595   29395  -3761070.3499   3636719.9746   3636330.8487     -47.2835     -57.8272      26.9678
      3  1997    288596   29396  -3761072.0890   3636720.0869   3636328.4626     -46.1554     -60.5437      26.6881
      4  1997    288597   29397  -3761072.5716   3636719.8010   3636327.9894     -45.6144     -61.0164      26.5382
      5  1997    288598   29398  -3761073.6832   3636719.9768   3636326.2254     -44.9681     -62.9899      26.2818
      6  1997    288599   29399  -3761074.7934   3636719.1661   3636325.7655     -43.6136     -63.5012      26.2103
      7  1997    288600   29400  -3761076.1352   3636717.9393   3636325.3322     -41.7989     -63.9204      26.0535
      8  1997    288601   29401  -3761076.2250   3636717.8843   3636325.1324     -41.6969     -64.0991      25.9605
      9  1997    288602   29402  -3761076.6659   3636717.6541   3636324.2265     -41.2250     -64.9313      25.5698
     10  1997    288603   29403  -3761077.6470   3636717.4053   3636324.6844     -40.3641     -64.8614      26.2685
     11  1997    288604   29404  -3761086.0767   3636714.6003   3636321.9916     -32.4881     -69.4242      28.0923
     12  1997    288605   29405  -3761093.6062   3636712.2598   3636319.5971     -25.5716     -73.5568      29.8215
     13  1997    288606   29406  -3761101.3350   3636709.8121   3636315.4826     -18.4395     -79.1379      30.6209
     14  1997    288607   29407  -3761106.7862   3636707.2187   3636315.6915     -12.7859     -80.1799      32.4745
     15  1997    288608   29408  -3761114.4281   3636705.6832   3636313.9178      -6.3700     -84.1710      35.0842
     16  1997    288609   29409  -3761121.6719   3636703.9815   3636311.6996      -0.1114     -88.2959      37.1100
     17  1997    288610   29410  -3761125.4514   3636702.5875   3636311.1653       3.5179     -89.7358      38.2360
     18  1997    288611   29411  -3761123.2849   3636702.9225   3636313.7321       1.7712     -86.8733      38.6223
     19  1997    288612   29412  -3761121.4603   3636702.8157   3636316.9065       0.5796     -83.4778      39.3066
     20  1997    288613   29413  -3761120.4420   3636702.9937   3636317.9457      -0.2562     -82.2777      39.4040
     21  1997    288614   29414  -3761121.2445   3636702.6647   3636315.9927       0.5382     -84.0775      38.5696
     22  1997    288615   29415  -3761125.7930   3636703.1338   3636309.9766       3.3626     -91.0683      38.0668
     23  1997    288616   29416  -3761126.8572   3636703.1879   3636308.8404       4.0636     -92.4593      38.0730
     24  1997    288617   29417  -3761127.4699   3636703.1515   3636307.8585       4.5156     -93.5019      37.8502
     25  1997    288618   29418  -3761128.2616   3636703.1906   3636307.4355       5.0378     -94.1903      38.0963
     26  1997    288619   29419  -3761129.6359   3636703.4043   3636306.1697       5.8395     -95.8791      38.3018
     27  1997    288620   29420  -3761130.3757   3636703.5681   3636305.7459       6.2359     -96.5965      38.5879
     28  1997    288621   29421  -3761131.0999   3636703.8050   3636305.3845       6.5691     -97.2855      38.9421
     29  1997    288622   29422  -3761132.2022   3636704.3095   3636303.8401       6.9726     -99.2062      38.9933
     30  1997    288623   29423  -3761132.9913   3636704.7533   3636301.4083       7.2021    -101.7008      38.3166
     31  1997    288624   29424  -3761133.7812   3636705.2455   3636299.0630       7.3973    -104.1440      37.7176
     32  1997    288625   29425  -3761134.8540   3636705.8438   3636297.6113       7.7129    -106.0141      37.8579
