% 2018îN 6åé 21ì˙ 17éû 23ï™ 23.022000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2018_4_19_8_37.18o
Ephemeris_N File :  brdc1090 (3).18n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2018/ 4/19  8:37:30
END         TIME :  2018/ 4/19  8:44:22
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1997    376650   31050  -3761119.2963   3636694.2599   3636348.1348       5.2261     -53.5900      51.0632
      2  1997    376651   31051  -3761120.1249   3636694.6916   3636347.7107       5.4917     -54.4510      51.5539
      3  1997    376652   31052  -3761119.3443   3636695.9384   3636346.9481       4.0528     -55.2510      51.3670
      4  1997    376653   31053  -3761118.2365   3636698.7937   3636344.1557       1.2301     -58.2201      50.7397
      5  1997    376654   31054  -3761118.7582   3636699.7626   3636343.0882       0.8962     -59.6960      50.9868
      6  1997    376655   31055  -3761118.6426   3636699.8592   3636342.8103       0.7464     -59.9145      50.8144
      7  1997    376656   31056  -3761118.3447   3636701.9131   3636340.6451      -0.9372     -62.3843      50.5673
      8  1997    376657   31057  -3761118.2482   3636704.6773   3636337.6260      -2.9914     -65.9198      50.3539
      9  1997    376658   31058  -3761117.5276   3636706.4642   3636336.4656      -4.7769     -67.2857      50.2818
     10  1997    376659   31059  -3761117.9648   3636708.9494   3636333.3329      -6.2597     -71.0230      50.1587
     11  1997    376660   31060  -3761118.5426   3636711.0289   3636331.2698      -7.3530     -73.7802      50.5005
     12  1997    376661   31061  -3761118.7106   3636710.1592   3636331.6269      -6.6110     -73.2102      50.3089
     13  1997    376662   31062  -3761119.3894   3636710.2941   3636330.6713      -6.2361     -74.3267      50.2377
     14  1997    376663   31063  -3761120.4893   3636711.7365   3636328.9401      -6.5085     -76.7734      50.7145
     15  1997    376664   31064  -3761121.1281   3636710.8334   3636328.8772      -5.4153     -76.7282      50.5404
     16  1997    376665   31065  -3761122.1923   3636712.1583   3636327.1859      -5.6279     -79.0806      50.9521
     17  1997    376666   31066  -3761123.8500   3636717.7910   3636321.3782      -8.5250     -86.7671      51.8068
     18  1997    376667   31067  -3761123.8948   3636719.2577   3636320.1918      -9.5482     -88.3420      51.9883
     19  1997    376668   31068  -3761123.7099   3636716.7228   3636322.0023      -7.8544     -85.7723      51.4737
     20  1997    376669   31069  -3761124.0390   3636715.5586   3636322.6349      -6.7887     -84.9256      51.3672
     21  1997    376670   31070  -3761124.2456   3636717.2824   3636321.3915      -7.8844     -86.7165      51.7578
     22  1997    376671   31071  -3761124.2989   3636716.6705   3636321.5158      -7.4074     -86.3928      51.5120
     23  1997    376672   31072  -3761123.7108   3636715.3188   3636323.0154      -6.8445     -84.3830      51.2555
     24  1997    376673   31073  -3761124.0474   3636713.9724   3636323.7414      -5.6426     -83.3904      51.1032
     25  1997    376674   31074  -3761124.3103   3636713.1074   3636323.8790      -4.8380     -83.0413      50.8443
     26  1997    376675   31075  -3761124.5443   3636711.7117   3636324.3664      -3.6720     -82.1821      50.4666
     27  1997    376676   31076  -3761124.6861   3636710.2890   3636324.8081      -2.5506     -81.3117      49.9932
     28  1997    376677   31077  -3761124.6012   3636710.3682   3636324.4449      -2.6665     -81.6059      49.7799
     29  1997    376678   31078  -3761124.8462   3636709.8566   3636324.4168      -2.1285     -81.5260      49.6168
     30  1997    376679   31079  -3761124.9036   3636709.0529   3636324.5453      -1.5108     -81.1240      49.2666
     31  1997    376680   31080  -3761125.1533   3636708.5547   3636324.3508      -0.9791     -81.1878      49.0184
     32  1997    376681   31081  -3761125.4447   3636708.5371   3636323.7016      -0.7639     -81.8327      48.8078
     33  1997    376682   31082  -3761125.7446   3636706.9752   3636323.8977       0.5674     -81.1733      48.2073
     34  1997    376683   31083  -3761126.0270   3636707.4902   3636322.7931       0.3935     -82.3999      48.0337
