% 2018îN 6åé 21ì˙ 17éû 28ï™ 33.719000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2018_6_12_6_14kai.18o
Ephemeris_N File :  brdc1630.18n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2018/ 6/12  6:14:20
END         TIME :  2018/ 6/12  6:15:45
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  2005    195260   22460  -3761122.7390   3636688.2258   3636326.1482      11.9571     -70.6184      37.0489
      2  2005    195261   22461  -3761118.4366   3636688.8664   3636332.4973       8.5059     -63.8985      38.5196
      3  2005    195262   22462  -3761117.1886   3636690.8215   3636333.0665       6.2328     -63.6968      39.2244
      4  2005    195263   22463  -3761117.9726   3636692.8879   3636331.0139       5.2923     -66.5253      39.6862
      5  2005    195264   22464  -3761117.6610   3636694.0877   3636330.8093       4.2132     -67.0426      40.0687
      6  2005    195265   22465  -3761117.4999   3636696.6537   3636329.8368       2.2565     -68.7956      40.8777
      7  2005    195266   22466  -3761117.4604   3636697.8140   3636329.2331       1.3950     -69.7364      41.1692
      8  2005    195267   22467  -3761117.3562   3636698.5983   3636329.0521       0.7586     -70.1544      41.4507
      9  2005    195268   22468  -3761117.7071   3636698.6909   3636328.4550       0.9360     -70.8251      41.3677
     10  2005    195269   22469  -3761117.8229   3636698.7102   3636328.0433       1.0026     -71.2178      41.2109
     11  2005    195270   22470  -3761117.1850   3636700.5686   3636327.9509      -0.7768     -71.7712      41.8407
     12  2005    195271   22471  -3761115.2564   3636702.1571   3636327.6183      -3.2593     -71.8819      41.4187
     13  2005    195272   22472  -3761112.2692   3636704.1319   3636327.1372      -6.7555     -71.8319      40.5080
     14  2005    195273   22473  -3761111.2492   3636704.2995   3636327.7678      -7.5850     -70.9615      40.3643
     15  2005    195274   22474  -3761111.0823   3636704.1122   3636327.7638      -7.5663     -70.8214      40.1570
     16  2005    195275   22475  -3761109.9928   3636704.2108   3636327.6955      -8.3946     -70.4677      39.5322
     17  2005    195276   22476  -3761108.2465   3636705.3950   3636327.5373     -10.4598     -70.3494      39.0874
     18  2005    195277   22477  -3761106.5124   3636706.4581   3636327.1656     -12.4294     -70.3629      38.4584
     19  2005    195278   22478  -3761105.1297   3636708.0603   3636326.6984     -14.5424     -70.8144      38.2886
     20  2005    195279   22479  -3761102.5502   3636708.9551   3636326.4367     -16.9788     -70.3222      37.1288
     21  2005    195280   22480  -3761101.4236   3636709.5689   3636325.8774     -18.2031     -70.5607      36.4941
     22  2005    195281   22481  -3761100.5865   3636710.5852   3636325.7335     -19.5156     -70.7386      36.4974
     23  2005    195282   22482  -3761099.3545   3636710.5656   3636325.1194     -20.3578     -70.7262      35.4084
     24  2005    195283   22483  -3761098.6685   3636711.1010   3636324.9268     -21.2196     -70.8146      35.1989
     25  2005    195284   22484  -3761097.4145   3636712.2934   3636324.9059     -22.9485     -70.7901      35.1274
     26  2005    195285   22485  -3761096.6880   3636712.8741   3636324.6513     -23.8710     -70.9307      34.8842
     27  2005    195286   22486  -3761096.2263   3636713.3637   3636324.6665     -24.5439     -70.9231      34.8998
     28  2005    195287   22487  -3761095.3196   3636713.6795   3636324.1462     -25.4012     -71.1015      34.2474
     29  2005    195288   22488  -3761094.7126   3636714.0216   3636324.0170     -26.0690     -71.0935      34.0106
     30  2005    195289   22489  -3761094.2480   3636714.4306   3636323.7979     -26.6860     -71.2445      33.8442
     31  2005    195290   22490  -3761095.2562   3636714.1388   3636323.7441     -25.7754     -71.5879      34.2411
     32  2005    195291   22491  -3761097.1146   3636713.7714   3636323.1716     -24.2195     -72.6765      34.7982
     33  2005    195292   22492  -3761097.2974   3636713.0935   3636322.4521     -23.6051     -73.0712      34.1072
     34  2005    195293   22493  -3761097.1298   3636713.2140   3636321.1998     -23.8082     -74.0762      33.3592
     35  2005    195294   22494  -3761097.3962   3636711.5007   3636321.4717     -22.3914     -73.2804      32.6962
     36  2005    195295   22495  -3761097.0989   3636711.1133   3636321.8237     -22.3195     -72.7151      32.5023
     37  2005    195296   22496  -3761101.5434   3636713.0137   3636324.7206     -20.5963     -72.9308      37.8634
     38  2005    195298   22498  -3761101.7998   3636713.1240   3636324.8871     -20.4974     -72.9440      38.1726
     39  2005    195299   22499  -3761101.6386   3636713.0547   3636324.7824     -20.5596     -72.9357      37.9782
     40  2005    195300   22500  -3761101.6386   3636713.0547   3636324.7824     -20.5596     -72.9357      37.9782
     41  2005    195301   22501  -3761102.0319   3636713.2230   3636325.0386     -20.4072     -72.9550      38.4526
     42  2005    195302   22502  -3761101.9581   3636713.1915   3636324.9905     -20.4358     -72.9514      38.3637
     43  2005    195303   22503  -3761101.9581   3636713.1915   3636324.9905     -20.4358     -72.9514      38.3637
     44  2005    195304   22504  -3761101.9581   3636713.1915   3636324.9905     -20.4358     -72.9514      38.3637
     45  2005    195305   22505  -3761101.9581   3636713.1915   3636324.9905     -20.4358     -72.9514      38.3637
     46  2005    195306   22506  -3761101.9581   3636713.1915   3636324.9905     -20.4358     -72.9514      38.3637
     47  2005    195307   22507  -3761101.9581   3636713.1915   3636324.9905     -20.4358     -72.9514      38.3637
     48  2005    195308   22508  -3761099.9354   3636712.3433   3636323.6571     -21.2321     -72.8722      35.9247
     49  2005    195309   22509  -3761099.9354   3636712.3433   3636323.6571     -21.2321     -72.8722      35.9247
     50  2005    195310   22510  -3761099.9354   3636712.3433   3636323.6571     -21.2321     -72.8722      35.9247
     51  2005    195311   22511  -3761099.9354   3636712.3433   3636323.6571     -21.2321     -72.8722      35.9247
     52  2005    195312   22512  -3761098.0929   3636711.5799   3636322.4343     -21.9641     -72.8104      33.7036
     53  2005    195313   22513  -3761096.6135   3636710.9670   3636321.4525     -22.5517     -72.7608      31.9203
     54  2005    195314   22514  -3761096.9930   3636711.1537   3636321.6780     -22.4222     -72.8069      32.3794
     55  2005    195315   22515  -3761097.2716   3636711.2911   3636321.8431     -22.3273     -72.8412      32.7164
     56  2005    195316   22516  -3761097.9115   3636711.5825   3636322.2443     -22.0920     -72.8924      33.4893
     57  2005    195317   22517  -3761098.4825   3636711.8465   3636322.5987     -21.8848     -72.9425      34.1792
     58  2005    195318   22518  -3761098.1784   3636711.7324   3636322.3863     -22.0142     -72.9458      33.8133
     59  2005    195319   22519  -3761098.0307   3636711.6848   3636322.2761     -22.0826     -72.9562      33.6360
     60  2005    195320   22520            NaN            NaN            NaN          NaN          NaN          NaN
     61  2005    195321   22521            NaN            NaN            NaN          NaN          NaN          NaN
     62  2005    195322   22522            NaN            NaN            NaN          NaN          NaN          NaN
     63  2005    195323   22523            NaN            NaN            NaN          NaN          NaN          NaN
     64  2005    195324   22524            NaN            NaN            NaN          NaN          NaN          NaN
     65  2005    195325   22525  -3761247.5272   3637069.2392   3636399.7403    -175.2101    -213.5986     369.7412
     66  2005    195326   22526  -3761247.5769   3637069.2079   3636399.8198    -175.1531    -213.5416     369.7983
     67  2005    195327   22527  -3761247.6037   3637069.1911   3636399.8625    -175.1224    -213.5109     369.8289
     68  2005    195328   22528  -3761247.6839   3637069.1407   3636399.9906    -175.0304    -213.4190     369.9209
     69  2005    195329   22529  -3761247.7619   3637069.0917   3636400.1152    -174.9409    -213.3295     370.0104
     70  2005    195330   22530  -3761247.8874   3637069.0128   3636400.3156    -174.7970    -213.1856     370.1543
     71  2005    195331   22531  -3761248.0575   3637068.9059   3636400.5874    -174.6019    -212.9904     370.3495
     72  2005    195332   22532  -3761248.0703   3637068.8909   3636400.6066    -174.5823    -212.9739     370.3595
     73  2005    195333   22533  -3761248.0856   3637068.8489   3636400.6380    -174.5414    -212.9378     370.3625
     74  2005    195334   22534  -3761248.1245   3637068.7778   3636400.6665    -174.4632    -212.9021     370.3612
     75  2005    195335   22535  -3761248.2074   3637068.6495   3636400.7052    -174.3134    -212.8535     370.3593
     76  2005    195336   22536  -3761248.2537   3637068.5278   3636400.7674    -174.1937    -212.7731     370.3528
     77  2005    195337   22537  -3761248.3521   3637068.3820   3636400.7953    -174.0205    -212.7327     370.3437
     78  2005    195338   22538  -3761248.5145   3637068.1513   3636400.8409    -173.7418    -212.6703     370.3342
     79  2005    195339   22539  -3761248.5905   3637067.9619   3636400.9318    -173.5528    -212.5516     370.3232
     80  2005    195340   22540  -3761248.8044   3637067.6569   3636400.9929    -173.1848    -212.4682     370.3105
     81  2005    195341   22541  -3761249.0565   3637067.3706   3636400.9881    -172.8037    -212.4619     370.2932
     82  2005    195342   22542  -3761249.2051   3637067.0674   3636401.1096    -172.4825    -212.3028     370.2776
     83  2005    195343   22543  -3761250.0284   3637065.9876   3636401.2858    -171.1339    -212.0675     370.2487
     84  2005    195344   22544  -3761250.6949   3637064.9083   3636401.6068    -169.8947    -211.6490     370.2106
     85  2005    195345   22545  -3761251.4957   3637063.7978   3636401.8232    -168.5398    -211.3592     370.1739
