% 2018îN 6åé 28ì˙ 17éû 3ï™ 19.905000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2018_6_27_8_39.18o
Ephemeris_N File :  brdc1780.18n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2018/ 6/27  8:39:12
END         TIME :  2018/ 6/27  8:40:27
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  2007    290352   31152  -3761029.2842   3636630.6149   3636299.0182     -11.5885     -31.3691     -66.3626
      2  2007    290353   31153  -3761027.1728   3636637.4686   3636298.5207     -17.9833     -33.6379     -63.9881
      3  2007    290354   31154  -3761028.5082   3636643.6061   3636294.7690     -21.4673     -39.7081     -61.8570
      4  2007    290355   31155  -3761027.8897   3636648.8319   3636292.3265     -25.6541     -43.5370     -60.6454
      5  2007    290356   31156  -3761028.2471   3636651.3917   3636291.0200     -27.2458     -45.7749     -59.7260
      6  2007    290357   31157  -3761027.3358   3636655.6085   3636289.7757     -30.9108     -48.0993     -58.5746
      7  2007    290358   31158  -3761026.7700   3636657.9262   3636288.6573     -32.9702     -49.7061     -58.2291
      8  2007    290359   31159  -3761026.1166   3636660.0191   3636288.3803     -34.9290     -50.4978     -57.5808
      9  2007    290360   31160  -3761026.1828   3636661.0528   3636287.8197     -35.6261     -51.3964     -57.2744
     10  2007    290361   31161  -3761024.8399   3636665.3407   3636286.1082     -39.6421     -53.9540     -56.6046
     11  2007    290362   31162  -3761024.4181   3636667.4272   3636285.5900     -41.4353     -55.0362     -55.9619
     12  2007    290363   31163  -3761024.0370   3636670.4738   3636284.6930     -43.8905     -56.8282     -54.9654
     13  2007    290364   31164  -3761024.4701   3636671.2893   3636284.2119     -44.1756     -57.7259     -54.5217
     14  2007    290365   31165  -3761023.3135   3636675.2890   3636282.6661     -47.8549     -60.1097     -53.8112
     15  2007    290366   31166  -3761022.3070   3636677.6667   3636282.0219     -50.2640     -61.1703     -53.4192
     16  2007    290367   31167  -3761022.5262   3636678.0111   3636282.0428     -50.3591     -61.3808     -53.0820
     17  2007    290368   31168  -3761021.9538   3636679.4997   3636281.8398     -51.8272     -61.9044     -52.6877
     18  2007    290369   31169  -3761021.2228   3636682.0120   3636281.1242     -54.1414     -63.1906     -52.0977
     19  2007    290370   31170  -3761021.1624   3636683.1504   3636280.7889     -55.0018     -63.8942     -51.6772
     20  2007    290371   31171  -3761020.9657   3636684.7427   3636280.1881     -56.2832     -64.9399     -51.2307
     21  2007    290372   31172  -3761019.3125   3636688.0094   3636279.2498     -59.7808     -66.3291     -50.8819
     22  2007    290373   31173  -3761019.0656   3636688.9745   3636279.2156     -60.6462     -66.6401     -50.4973
     23  2007    290374   31174  -3761019.1780   3636690.5000   3636278.8162     -61.6647     -67.6215     -49.7912
     24  2007    290375   31175  -3761018.7179   3636692.5223   3636278.4636     -63.4384     -68.5268     -49.1126
     25  2007    290376   31176  -3761017.9011   3636694.7066   3636277.7263     -65.5765     -69.6647     -48.7724
     26  2007    290377   31177  -3761018.1141   3636695.7370   3636277.3151     -66.1691     -70.5000     -48.2959
     27  2007    290378   31178  -3761018.1435   3636696.9234   3636277.0015     -67.0016     -71.2419     -47.7826
     28  2007    290379   31179  -3761017.0399   3636699.4480   3636276.0881     -69.5836     -72.5416     -47.5185
     29  2007    290380   31180  -3761018.1552   3636699.1626   3636276.3103     -68.6032     -72.7054     -46.8968
     30  2007    290381   31181  -3761018.2399   3636700.0850   3636276.0640     -69.2074     -73.3098     -46.4628
     31  2007    290382   31182  -3761019.5743   3636699.6199   3636276.2074     -67.9456     -73.5569     -45.8595
     32  2007    290383   31183  -3761020.4616   3636698.8963   3636276.5486     -66.8086     -73.3547     -45.5533
     33  2007    290384   31184  -3761027.8923   3636691.3017   3636278.0009     -56.1837     -72.2008     -44.6692
     34  2007    290385   31185  -3761030.5656   3636688.8096   3636278.6444     -52.5339     -71.7821     -44.1450
     35  2007    290386   31186  -3761032.8324   3636684.7759   3636279.5848     -48.0583     -70.3385     -44.5680
     36  2007    290387   31187  -3761031.0784   3636686.6028   3636278.7032     -50.5909     -71.0659     -45.0661
     37  2007    290388   31188  -3761028.9066   3636688.5917   3636277.4943     -53.5304     -71.9538     -45.9057
