% 2018îN 10åé 5ì˙ 17éû 4ï™ 57.212000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2018_8_24_8_11.18o
Ephemeris_N File :  brdc2360.18n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2018/ 8/24  8:13: 0
END         TIME :  2018/ 8/24  8:13:59
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  2015    461580   29580  -3760975.3225   3636683.3987   3636426.8266     -87.0443      74.5532       5.1906
      2  2015    461581   29581  -3760976.5924   3636682.3797   3636427.4364     -85.4290      74.9356       5.7079
      3  2015    461582   29582  -3760977.8467   3636680.1699   3636428.0292     -82.9685      75.7850       5.5279
      4  2015    461583   29583  -3760978.7656   3636679.1117   3636427.6088     -81.5691      75.4836       5.2255
      5  2015    461584   29584  -3760979.5857   3636677.7583   3636427.8729     -80.0260      75.9013       5.0892
      6  2015    461585   29585  -3760979.9412   3636677.3093   3636427.1884     -79.4561      75.3729       4.6504
      7  2015    461586   29586  -3760979.5981   3636675.2372   3636428.9726     -78.2050      77.8019       4.2911
      8  2015    461587   29587  -3760979.3723   3636673.4731   3636430.1723     -77.0938      79.5810       3.8412
      9  2015    461588   29588  -3760976.1769   3636672.1797   3636423.7308     -78.3851      76.1357      -2.4707
     10  2015    461589   29589  -3760973.6495   3636673.8879   3636417.5793     -81.3699      71.4566      -6.5132
     11  2015    461590   29590            NaN            NaN            NaN          NaN          NaN          NaN
     12  2015    461591   29591            NaN            NaN            NaN          NaN          NaN          NaN
     13  2015    461592   29592            NaN            NaN            NaN          NaN          NaN          NaN
     14  2015    461593   29593            NaN            NaN            NaN          NaN          NaN          NaN
     15  2015    461623   29623  -3760991.8310   3636651.5340   3636383.2279     -52.6616      44.7264     -28.2297
     16  2015    461624   29624  -3760996.3003   3636618.9780   3636411.0431     -26.1504      78.6485     -28.1917
     17  2015    461625   29625  -3760996.5703   3636618.7344   3636411.0012     -25.7876      78.5999     -28.1955
     18  2015    461626   29626  -3760996.8272   3636618.5011   3636410.9568     -25.4413      78.5507     -28.2025
     19  2015    461627   29627  -3760997.0975   3636618.2764   3636410.8941     -25.0919      78.4775     -28.2071
     20  2015    461628   29628  -3760997.3150   3636618.1398   3636410.7957     -24.8425      78.3616     -28.2133
     21  2015    461629   29629  -3760997.6341   3636617.9065   3636410.6937     -24.4530      78.2394     -28.2167
     22  2015    461630   29630  -3760997.9765   3636617.6828   3636410.5597     -24.0542      78.0778     -28.2192
     23  2015    461631   29631  -3760998.2285   3636617.5792   3636410.3951     -23.8045      77.8803     -28.2242
     24  2015    461632   29632  -3760998.9553   3636617.0717   3636410.1424     -22.9345      77.5760     -28.2299
     25  2015    461633   29633  -3760999.9034   3636616.4513   3636409.7663     -21.8294      77.1243     -28.2405
     26  2015    461634   29634  -3761001.3743   3636615.3787   3636409.3092     -20.0359      76.5710     -28.2471
     27  2015    461635   29635  -3761002.2459   3636615.1920   3636408.5824     -19.2959      75.6906     -28.2567
     28  2015    461636   29636  -3761003.6597   3636614.7067   3636407.5963     -17.9642      74.4934     -28.2657
     29  2015    461637   29637  -3761009.9206   3636612.4485   3636403.4071     -11.9887      69.3806     -28.2658
     30  2015    461638   29638  -3761011.5148   3636612.0210   3636402.1951     -10.5732      67.9008     -28.2651
     31  2015    461639   29639  -3761014.7660   3636611.1931   3636399.6792      -7.7181      64.8294     -28.2641
