% 2019îN 9åé 16ì˙ 22éû 38ï™ 18.139000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2018_10_5_6_27.18o
Ephemeris_N File :  10_5.18n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2018/10/ 5  6:27:43
END         TIME :  2018/10/ 5  6:29:22
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  2021    455263   23263  -3761033.5521   3636646.7338   3636381.5838     -20.2097      28.0965      -7.3318
      2  2021    455264   23264  -3761031.7467   3636650.6221   3636381.3867     -24.2599      27.1295      -6.2937
      3  2021    455265   23265  -3761030.7234   3636650.2849   3636382.8047     -24.7288      28.8475      -6.2755
      4  2021    455266   23266  -3761029.7659   3636649.6422   3636384.8227     -24.9324      31.1517      -6.0486
      5  2021    455267   23267  -3761029.3854   3636649.7199   3636385.3224     -25.2527      31.6870      -5.9420
      6  2021    455268   23268  -3761029.3928   3636649.6417   3636385.8671     -25.1913      32.1614      -5.6699
      7  2021    455269   23269  -3761028.3748   3636650.4040   3636386.5914     -26.4471      32.8706      -5.4201
      8  2021    455270   23270  -3761027.4913   3636650.7537   3636387.6141     -27.3126      33.9333      -5.1550
      9  2021    455271   23271  -3761026.7843   3636650.7704   3636388.0821     -27.8159      34.6015      -5.2936
     10  2021    455272   23272  -3761026.1714   3636650.6559   3636389.2863     -28.1597      35.8863      -5.0294
     11  2021    455273   23273  -3761025.4443   3636650.7787   3636389.9893     -28.7534      36.7131      -4.9847
     12  2021    455274   23274  -3761024.2219   3636650.7953   3636391.4117     -29.6151      38.3757      -4.8797
     13  2021    455275   23275  -3761023.3271   3636651.5660   3636392.0690     -30.7911      38.9759      -4.5910
     14  2021    455276   23276  -3761022.6253   3636651.8855   3636392.5229     -31.5086      39.5097      -4.5622
     15  2021    455277   23277  -3761022.4691   3636652.1636   3636392.5559     -31.8171      39.4903      -4.4769
     16  2021    455278   23278  -3761021.0020   3636652.4337   3636393.7131     -33.0311      40.9355      -4.5237
     17  2021    455279   23279  -3761020.5181   3636653.1819   3636394.2967     -33.9053      41.3149      -4.0480
     18  2021    455280   23280  -3761018.6787   3636653.4044   3636395.9932     -35.3439      43.3744      -4.0322
     19  2021    455281   23281  -3761018.2973   3636653.7879   3636396.2042     -35.8847      43.5516      -3.9174
     20  2021    455282   23282  -3761017.4272   3636654.0173   3636396.9050     -36.6545      44.3930      -3.8975
     21  2021    455283   23283  -3761017.5592   3636654.1666   3636396.7396     -36.6700      44.1435      -3.8295
     22  2021    455284   23284  -3761016.4715   3636654.7759   3636397.6598     -37.8641      45.1030      -3.5955
     23  2021    455285   23285  -3761015.5823   3636655.3710   3636398.3346     -38.9100      45.7853      -3.3936
     24  2021    455286   23286  -3761015.0085   3636655.7058   3636398.8442     -39.5496      46.3058      -3.2487
     25  2021    455287   23287  -3761012.7208   3636656.4337   3636400.8132     -41.6631      48.5719      -3.0527
     26  2021    455288   23288  -3761012.5619   3636656.7676   3636400.9011     -42.0136      48.5764      -2.9058
     27  2021    455289   23289  -3761011.2143   3636657.7979   3636401.9811     -43.6910      49.6060      -2.4935
     28  2021    455290   23290  -3761009.8281   3636658.2173   3636403.1718     -44.9561      50.9858      -2.3885
     29  2021    455291   23291  -3761009.7604   3636658.1906   3636403.1711     -44.9840      51.0238      -2.4440
     30  2021    455292   23292  -3761009.2863   3636658.2672   3636403.5507     -45.3685      51.4997      -2.4620
     31  2021    455293   23293  -3761008.4305   3636658.8130   3636404.1841     -46.3558      52.1539      -2.2921
     32  2021    455294   23294  -3761007.5152   3636658.9675   3636405.0812     -47.1031      53.2046      -2.2289
     33  2021    455295   23295  -3761004.2147   3636659.4078   3636408.4114     -49.7138      57.1179      -2.0129
     34  2021    455296   23296  -3761001.2282   3636660.9634   3636410.6006     -52.9081      59.5226      -1.6309
     35  2021    455297   23297  -3761002.8477   3636659.6436   3636410.4883     -50.8336      59.2891      -1.4930
     36  2021    455298   23298  -3761002.0088   3636660.1752   3636410.9984     -51.7989      59.8409      -1.3919
     37  2021    455299   23299  -3761000.9434   3636660.4332   3636411.8367     -52.7249      60.8641      -1.3919
     38  2021    455300   23300  -3760999.8789   3636660.6881   3636412.6770     -53.6482      61.8897      -1.3919
     39  2021    455301   23301  -3760998.8179   3636660.9318   3636413.5251     -54.5609      62.9248      -1.3919
     40  2021    455302   23302  -3760997.7538   3636661.1854   3636414.3664     -55.4829      63.9515      -1.3919
     41  2021    455303   23303  -3760996.6978   3636661.4132   3636415.2250     -56.3807      64.9995      -1.3919
     42  2021    455304   23304  -3760995.6500   3636661.6165   3636416.0996     -57.2552      66.0669      -1.3919
     43  2021    455305   23305  -3760994.5988   3636661.8295   3636416.9678     -58.1390      67.1267      -1.3919
     44  2021    455306   23306  -3760994.0711   3636661.9425   3636417.3977     -58.5871      67.6514      -1.3919
     45  2021    455307   23307  -3760993.0205   3636662.1538   3636418.2672     -59.4692      68.7126      -1.3919
     46  2021    455308   23308  -3760991.9719   3636662.3592   3636419.1405     -60.3458      69.7784      -1.3919
     47  2021    455309   23309  -3760990.9206   3636662.5725   3636420.0086     -61.2300      70.8380      -1.3919
     48  2021    455310   23310  -3760989.8744   3636662.7710   3636420.8863     -62.0999      71.9092      -1.3919
     49  2021    455311   23311  -3760989.3522   3636662.8676   3636421.3269     -62.5323      72.4469      -1.3919
     50  2021    455312   23312  -3760988.3132   3636663.0455   3636422.2175     -63.3825      73.5339      -1.3919
     51  2021    455313   23313            NaN            NaN            NaN          NaN          NaN          NaN
     52  2021    455314   23314            NaN            NaN            NaN          NaN          NaN          NaN
     53  2021    455315   23315            NaN            NaN            NaN          NaN          NaN          NaN
     54  2021    455316   23316            NaN            NaN            NaN          NaN          NaN          NaN
     55  2021    455317   23317            NaN            NaN            NaN          NaN          NaN          NaN
     56  2021    455318   23318            NaN            NaN            NaN          NaN          NaN          NaN
     57  2021    455319   23319            NaN            NaN            NaN          NaN          NaN          NaN
     58  2021    455320   23320            NaN            NaN            NaN          NaN          NaN          NaN
     59  2021    455321   23321            NaN            NaN            NaN          NaN          NaN          NaN
     60  2021    455322   23322            NaN            NaN            NaN          NaN          NaN          NaN
     61  2021    455323   23323            NaN            NaN            NaN          NaN          NaN          NaN
     62  2021    455324   23324            NaN            NaN            NaN          NaN          NaN          NaN
     63  2021    455325   23325            NaN            NaN            NaN          NaN          NaN          NaN
     64  2021    455326   23326            NaN            NaN            NaN          NaN          NaN          NaN
     65  2021    455327   23327            NaN            NaN            NaN          NaN          NaN          NaN
     66  2021    455328   23328            NaN            NaN            NaN          NaN          NaN          NaN
     67  2021    455329   23329            NaN            NaN            NaN          NaN          NaN          NaN
     68  2021    455330   23330            NaN            NaN            NaN          NaN          NaN          NaN
     69  2021    455331   23331            NaN            NaN            NaN          NaN          NaN          NaN
     70  2021    455332   23332            NaN            NaN            NaN          NaN          NaN          NaN
     71  2021    455333   23333            NaN            NaN            NaN          NaN          NaN          NaN
     72  2021    455334   23334            NaN            NaN            NaN          NaN          NaN          NaN
     73  2021    455335   23335            NaN            NaN            NaN          NaN          NaN          NaN
     74  2021    455336   23336            NaN            NaN            NaN          NaN          NaN          NaN
     75  2021    455337   23337            NaN            NaN            NaN          NaN          NaN          NaN
     76  2021    455338   23338            NaN            NaN            NaN          NaN          NaN          NaN
     77  2021    455339   23339            NaN            NaN            NaN          NaN          NaN          NaN
