% 2018îN 12åé 5ì˙ 15éû 49ï™ 12.124000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2018_11_26_6_29.18o
Ephemeris_N File :  brdc3300.18n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2018/11/26  6:29:47
END         TIME :  2018/11/26  6:30:30
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  2029    109787   23387  -3761294.1513   3636883.1494   3635943.9928      -9.0215    -532.0612      29.9295
      2  2029    109788   23388  -3761292.8635   3636880.6968   3635946.9098      -8.1535    -528.1629      29.4466
      3  2029    109789   23389  -3761292.2547   3636881.1702   3635946.0773      -8.9170    -528.7828      28.8803
      4  2029    109790   23390  -3761290.2424   3636881.1964   3635947.4120     -10.3346    -526.8702      28.4751
      5  2029    109791   23391  -3761289.9016   3636880.6615   3635947.8942     -10.1870    -526.1215      28.2462
      6  2029    109792   23392  -3761288.5732   3636880.0048   3635949.3833     -10.6383    -524.0922      27.9434
      7  2029    109793   23393  -3761288.1110   3636879.2998   3635949.9740     -10.4527    -523.1368      27.6083
      8  2029    109794   23394  -3761288.0566   3636879.0910   3635950.1311     -10.3405    -522.9024      27.5475
      9  2029    109795   23395  -3761288.8917   3636878.6696   3635949.1251      -9.4570    -523.9030      27.2226
     10  2029    109796   23396  -3761288.4425   3636879.1222   3635948.6312     -10.0946    -524.3029      26.9326
     11  2029    109797   23397  -3761289.0279   3636878.2353   3635948.5859      -9.0501    -524.2278      26.7464
     12  2029    109798   23398  -3761298.3442   3636881.4582   3635935.0900      -4.8912    -540.4096      26.3318
     13  2029    109799   23399  -3761301.0782   3636882.1433   3635930.6727      -3.4832    -545.4287      25.7998
     14  2029    109800   23400  -3761298.0040   3636879.1889   3635936.4822      -3.4962    -538.2243      25.6372
     15  2029    109801   23401  -3761296.7557   3636878.0801   3635938.5536      -3.5668    -535.5708      25.4580
     16  2029    109802   23402  -3761295.9074   3636876.5665   3635940.7819      -3.0683    -532.7922      25.3738
     17  2029    109803   23403  -3761295.9960   3636875.9682   3635941.0615      -2.5766    -532.3612      25.2456
     18  2029    109804   23404  -3761296.9466   3636875.7032   3635939.6031      -1.7254    -533.8423      24.8184
     19  2029    109805   23405  -3761297.1734   3636875.2409   3635939.4238      -1.2354    -533.8985      24.5859
     20  2029    109806   23406  -3761297.8160   3636874.8273   3635938.9057      -0.4914    -534.4230      24.4318
     21  2029    109807   23407  -3761298.2601   3636874.2889   3635938.5298       0.2044    -534.6994      24.1713
     22  2029    109808   23408  -3761298.9508   3636874.0721   3635937.6593       0.8403    -535.6109      23.9556
     23  2029    109809   23409  -3761300.2420   3636874.3328   3635935.3777       1.5505    -538.1165      23.5565
     24  2029    109810   23410  -3761300.3424   3636873.9698   3635935.4049       1.8812    -537.9909      23.4244
     25  2029    109811   23411  -3761301.5109   3636873.7217   3635934.0653       2.8718    -539.4712      23.2034
     26  2029    109812   23412  -3761300.3891   3636872.4209   3635936.5380       3.0271    -536.4645      23.2194
     27  2029    109813   23413  -3761302.6573   3636873.0275   3635933.0151       4.1678    -540.5275      22.8812
     28  2029    109814   23414  -3761303.8775   3636872.9313   3635931.3394       5.0851    -542.3650      22.5844
     29  2029    109815   23415  -3761303.5723   3636872.1645   3635932.3903       5.4242    -541.0726      22.5704
     30  2029    109816   23416  -3761303.9206   3636871.9113   3635932.1274       5.8484    -541.3307      22.4806
     31  2029    109817   23417  -3761304.0339   3636871.2650   3635932.3399       6.3918    -540.9456      22.3011
     32  2029    109818   23418  -3761303.6802   3636870.3291   3635933.6234       6.8187    -539.3753      22.2956
     33  2029    109819   23419  -3761304.8344   3636870.4969   3635932.1264       7.5004    -541.1444      22.2127
     34  2029    109820   23420  -3761305.8089   3636870.4110   3635930.8590       8.2395    -542.5503      22.0112
     35  2029    109821   23421  -3761306.8961   3636870.1007   3635929.8533       9.2183    -543.6987      21.8983
     36  2029    109822   23422  -3761306.7850   3636869.3918   3635930.3957       9.6507    -542.9260      21.7401
     37  2029    109823   23423  -3761307.6979   3636868.7874   3635929.7159      10.7197    -543.6184      21.5437
     38  2029    109824   23424  -3761310.2042   3636869.5267   3635926.2169      11.9305    -547.8128      21.4350
     39  2029    109825   23425  -3761311.1650   3636869.3910   3635924.8826      12.6959    -549.2479      21.1586
     40  2029    109826   23426  -3761311.2938   3636868.5584   3635925.4798      13.3840    -548.4799      21.1027
     41  2029    109827   23427  -3761312.2298   3636868.2366   3635924.4630      14.2659    -549.5705      20.8878
     42  2029    109828   23428  -3761310.8647   3636866.5515   3635927.3949      14.5284    -545.9342      20.8050
     43  2029    109829   23429  -3761310.2810   3636865.3267   3635928.7217      15.0032    -544.1185      20.5243
     44  2029    109830   23430  -3761309.6485   3636864.2073   3635930.3178      15.3683    -542.1038      20.4293
