% 2019îN 7åé 5ì˙ 12éû 50ï™ 40.574000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  Nexus_3_20.19o
Ephemeris_N File :  0111.19n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2019/ 1/11  9: 4:24
END         TIME :  2019/ 1/11  9: 5:45
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  2035    464664   32664  -3760966.3006   3636672.0250   3636436.3411     -85.1391      90.5999      -1.1462
      2  2035    464665   32665  -3760964.9305   3636670.9547   3636439.5946     -85.3220      94.2569      -0.6975
      3  2035    464666   32666  -3760963.3654   3636669.6557   3636442.9342     -85.4761      98.1559      -0.4445
      4  2035    464667   32667  -3760962.1142   3636669.6310   3636444.5708     -86.3281     100.0224      -0.2572
      5  2035    464668   32668  -3760961.9053   3636669.7276   3636444.8466     -86.5428     100.2959      -0.1672
      6  2035    464669   32669  -3760960.9306   3636669.6318   3636445.6297     -87.1514     101.3774      -0.3469
      7  2035    464670   32670  -3760958.5384   3636670.1199   3636447.2846     -89.1651     103.5248      -0.5291
      8  2035    464671   32671  -3760958.0319   3636670.1791   3636447.3371     -89.5597     103.7530      -0.7636
      9  2035    464672   32672  -3760956.9488   3636670.3128   3636448.6291     -90.4088     105.2047      -0.5847
     10  2035    464673   32673  -3760955.9066   3636670.2598   3636449.6495     -91.0951     106.4915      -0.6438
     11  2035    464674   32674  -3760954.8037   3636670.6734   3636450.2522     -92.1591     107.2750      -0.7123
     12  2035    464675   32675  -3760954.4238   3636670.7113   3636450.6477     -92.4504     107.7405      -0.6877
     13  2035    464676   32676  -3760953.3393   3636670.9183   3636451.7341     -93.3531     108.9951      -0.5857
     14  2035    464677   32677  -3760952.7324   3636671.3338   3636452.3734     -94.0737     109.6035      -0.3400
     15  2035    464678   32678  -3760952.0437   3636671.3510   3636453.0163     -94.5647     110.4072      -0.3674
     16  2035    464679   32679  -3760951.5142   3636671.4980   3636453.6268     -95.0384     111.0670      -0.2455
     17  2035    464680   32680  -3760950.1588   3636671.5029   3636454.7440     -95.9841     112.5391      -0.4005
     18  2035    464681   32681  -3760949.0179   3636671.7690   3636455.4647     -96.9686     113.4938      -0.5078
     19  2035    464682   32682  -3760947.9558   3636671.9817   3636456.4261     -97.8597     114.6345      -0.4610
     20  2035    464683   32683  -3760947.3495   3636672.1849   3636456.7681     -98.4272     115.0836      -0.5064
