% 2019îN 8åé 23ì˙ 13éû 28ï™ 14.896000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  2.19o
Ephemeris_N File :  0122.19n
Ephemeris_G File :  Nothing
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2019/ 1/22  7:10: 1
END         TIME :  2019/ 1/22  7:10:16
True Position[m] :  X = -3761063.4990,  Y = 3636647.5780,  Z = 3636362.7670

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  2037    198601   25801  -3761264.9557   3636816.6276   3635983.2828      18.5065    -461.3257      -2.6274
      2  2037    198602   25802  -3761264.8134   3636816.8677   3635983.5115      18.2350    -461.1754      -2.4433
      3  2037    198603   25803  -3761262.7634   3636817.6343   3635985.1502      16.2589    -459.2933      -2.2747
      4  2037    198604   25804  -3761261.8422   3636817.7445   3635985.7799      15.5394    -458.4416      -2.3935
      5  2037    198605   25805  -3761261.6796   3636818.4382   3635985.4984      14.9276    -458.8817      -2.2556
      6  2037    198606   25806  -3761260.5707   3636818.7301   3635986.6489      13.9470    -457.5984      -2.0829
      7  2037    198607   25807  -3761260.2133   3636819.6573   3635986.5956      13.0319    -457.8642      -1.7959
      8  2037    198608   25808  -3761259.4786   3636820.3268   3635987.1041      12.0399    -457.4116      -1.5558
      9  2037    198609   25809  -3761258.8123   3636820.5495   3635988.0075      11.4167    -456.4856      -1.3035
     10  2037    198610   25810  -3761258.4206   3636821.2159   3635988.0224      10.6653    -456.5775      -1.1462
     11  2037    198611   25811  -3761258.0262   3636821.8503   3635988.4788       9.9351    -456.2938      -0.7554
     12  2037    198612   25812  -3761257.4609   3636821.8846   3635989.2071       9.5175    -455.4778      -0.6513
     13  2037    198613   25813  -3761256.8303   3636822.0026   3635989.7856       8.9943    -454.7909      -0.6239
     14  2037    198614   25814  -3761256.5540   3636822.4614   3635989.9037       8.4725    -454.7631      -0.4577
     15  2037    198615   25815  -3761256.2302   3636822.9913   3635989.8287       7.8664    -454.9024      -0.3896
     16  2037    198616   25816  -3761255.7498   3636822.8037   3635990.5238       7.6674    -454.0600      -0.3809
