% 2016îN 11åé 15ì˙ 14éû 39ï™ 34.860000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris_N File :  oem4_20081213.08N
Ephemeris_G File :  Nothing
IONEX       File :  igsg3480.08i
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  3: 0: 0
END         TIME :  2008/12/13  3:30: 0
True Position[m] :  X = -3755412.2819,  Y = 3634202.0881,  Z = 3644338.7927

%------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD        X[m]           Y[m]           Z[m]          East[m]     North[m]        Up[m] 
%------------------------------------------------------------------------------------------------------------------------------
      1  1509    529200   10800            NaN            NaN            NaN          NaN          NaN          NaN
      2  1509    529201   10801            NaN            NaN            NaN          NaN          NaN          NaN
      3  1509    529202   10802            NaN            NaN            NaN          NaN          NaN          NaN
      4  1509    529203   10803            NaN            NaN            NaN          NaN          NaN          NaN
      5  1509    529204   10804            NaN            NaN            NaN          NaN          NaN          NaN
      6  1509    529205   10805            NaN            NaN            NaN          NaN          NaN          NaN
      7  1509    529206   10806            NaN            NaN            NaN          NaN          NaN          NaN
      8  1509    529207   10807            NaN            NaN            NaN          NaN          NaN          NaN
      9  1509    529208   10808            NaN            NaN            NaN          NaN          NaN          NaN
     10  1509    529209   10809            NaN            NaN            NaN          NaN          NaN          NaN
     11  1509    529210   10810            NaN            NaN            NaN          NaN          NaN          NaN
     12  1509    529211   10811            NaN            NaN            NaN          NaN          NaN          NaN
     13  1509    529212   10812            NaN            NaN            NaN          NaN          NaN          NaN
     14  1509    529213   10813            NaN            NaN            NaN          NaN          NaN          NaN
     15  1509    529214   10814            NaN            NaN            NaN          NaN          NaN          NaN
     16  1509    529215   10815            NaN            NaN            NaN          NaN          NaN          NaN
     17  1509    529216   10816            NaN            NaN            NaN          NaN          NaN          NaN
     18  1509    529217   10817            NaN            NaN            NaN          NaN          NaN          NaN
     19  1509    529218   10818            NaN            NaN            NaN          NaN          NaN          NaN
     21  1509    529220   10820            NaN            NaN            NaN          NaN          NaN          NaN
     22  1509    529221   10821            NaN            NaN            NaN          NaN          NaN          NaN
     23  1509    529222   10822            NaN            NaN            NaN          NaN          NaN          NaN
     24  1509    529223   10823            NaN            NaN            NaN          NaN          NaN          NaN
     25  1509    529224   10824            NaN            NaN            NaN          NaN          NaN          NaN
     26  1509    529225   10825            NaN            NaN            NaN          NaN          NaN          NaN
     27  1509    529226   10826            NaN            NaN            NaN          NaN          NaN          NaN
     28  1509    529227   10827            NaN            NaN            NaN          NaN          NaN          NaN
     29  1509    529228   10828            NaN            NaN            NaN          NaN          NaN          NaN
     30  1509    529229   10829            NaN            NaN            NaN          NaN          NaN          NaN
     31  1509    529230   10830            NaN            NaN            NaN          NaN          NaN          NaN
     32  1509    529231   10831            NaN            NaN            NaN          NaN          NaN          NaN
     33  1509    529232   10832            NaN            NaN            NaN          NaN          NaN          NaN
     34  1509    529233   10833            NaN            NaN            NaN          NaN          NaN          NaN
     35  1509    529234   10834            NaN            NaN            NaN          NaN          NaN          NaN
     36  1509    529235   10835            NaN            NaN            NaN          NaN          NaN          NaN
     37  1509    529236   10836            NaN            NaN            NaN          NaN          NaN          NaN
     38  1509    529237   10837            NaN            NaN            NaN          NaN          NaN          NaN
     39  1509    529238   10838            NaN            NaN            NaN          NaN          NaN          NaN
     40  1509    529239   10839            NaN            NaN            NaN          NaN          NaN          NaN
     41  1509    529240   10840            NaN            NaN            NaN          NaN          NaN          NaN
     42  1509    529241   10841            NaN            NaN            NaN          NaN          NaN          NaN
     43  1509    529242   10842            NaN            NaN            NaN          NaN          NaN          NaN
     44  1509    529243   10843            NaN            NaN            NaN          NaN          NaN          NaN
     45  1509    529244   10844            NaN            NaN            NaN          NaN          NaN          NaN
     46  1509    529245   10845            NaN            NaN            NaN          NaN          NaN          NaN
     47  1509    529246   10846            NaN            NaN            NaN          NaN          NaN          NaN
     48  1509    529247   10847            NaN            NaN            NaN          NaN          NaN          NaN
     49  1509    529248   10848            NaN            NaN            NaN          NaN          NaN          NaN
     50  1509    529249   10849            NaN            NaN            NaN          NaN          NaN          NaN
     51  1509    529250   10850            NaN            NaN            NaN          NaN          NaN          NaN
     52  1509    529251   10851            NaN            NaN            NaN          NaN          NaN          NaN
     53  1509    529252   10852            NaN            NaN            NaN          NaN          NaN          NaN
     54  1509    529253   10853            NaN            NaN            NaN          NaN          NaN          NaN
     55  1509    529254   10854            NaN            NaN            NaN          NaN          NaN          NaN
     56  1509    529255   10855            NaN            NaN            NaN          NaN          NaN          NaN
     57  1509    529256   10856            NaN            NaN            NaN          NaN          NaN          NaN
     58  1509    529257   10857            NaN            NaN            NaN          NaN          NaN          NaN
     59  1509    529258   10858            NaN            NaN            NaN          NaN          NaN          NaN
     60  1509    529259   10859            NaN            NaN            NaN          NaN          NaN          NaN
     61  1509    529260   10860            NaN            NaN            NaN          NaN          NaN          NaN
     62  1509    529261   10861            NaN            NaN            NaN          NaN          NaN          NaN
     63  1509    529262   10862            NaN            NaN            NaN          NaN          NaN          NaN
     64  1509    529263   10863            NaN            NaN            NaN          NaN          NaN          NaN
