% 2016îN 7åé 28ì˙ 15éû 27ï™ 27.844000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 22: 0: 0
END         TIME :  2015/12/31 23: 7:30
Ref. Position[m] :  X = -3762296.7645,  Y = 3685992.5241,  Z = 3585585.4878

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1877    424830   79230            NaN            NaN            NaN          NaN          NaN          NaN
      2  1877    424860   79260            NaN            NaN            NaN          NaN          NaN          NaN
      3  1877    424890   79290            NaN            NaN            NaN          NaN          NaN          NaN
      4  1877    424920   79320            NaN            NaN            NaN          NaN          NaN          NaN
      5  1877    424950   79350            NaN            NaN            NaN          NaN          NaN          NaN
      6  1877    424980   79380            NaN            NaN            NaN          NaN          NaN          NaN
      7  1877    425010   79410            NaN            NaN            NaN          NaN          NaN          NaN
      8  1877    425040   79440            NaN            NaN            NaN          NaN          NaN          NaN
      9  1877    425070   79470            NaN            NaN            NaN          NaN          NaN          NaN
     10  1877    425100   79500            NaN            NaN            NaN          NaN          NaN          NaN
     11  1877    425130   79530            NaN            NaN            NaN          NaN          NaN          NaN
     12  1877    425160   79560            NaN            NaN            NaN          NaN          NaN          NaN
     13  1877    425190   79590            NaN            NaN            NaN          NaN          NaN          NaN
     14  1877    425220   79620            NaN            NaN            NaN          NaN          NaN          NaN
     15  1877    425250   79650            NaN            NaN            NaN          NaN          NaN          NaN
     16  1877    425280   79680            NaN            NaN            NaN          NaN          NaN          NaN
     17  1877    425310   79710            NaN            NaN            NaN          NaN          NaN          NaN
     18  1877    425340   79740            NaN            NaN            NaN          NaN          NaN          NaN
