% 2016îN 11åé 22ì˙ 16éû 27ï™ 59.386000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  020606_rov_mod.02o
Ephemeris   File :  020606_rov_mod.02n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2002/ 6/ 6  5:28:20
END         TIME :  2002/ 6/ 6  5:43: 5
Ref. Position[m] :  X = -3761137.6450,  Y = 3636645.7770,  Z = 3636348.1380

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1169    365300   19700  -3760918.1636   3636736.4642   3636402.8328    -217.7589      99.1343     -46.2732
      2  1169    365301   19701  -3760918.3664   3636736.6151   3636402.4727    -217.7264      98.6956     -46.2743
      3  1169    365302   19702  -3760918.5542   3636736.7692   3636402.1103    -217.7067      98.2599     -46.2837
      4  1169    365303   19703  -3760918.7489   3636736.9196   3636401.7656    -217.6794      97.8372     -46.2810
      5  1169    365304   19704  -3760918.9414   3636737.0855   3636401.4113    -217.6649      97.4014     -46.2763
      6  1169    365305   19705  -3760919.1230   3636737.2540   3636401.0515    -217.6598      96.9647     -46.2796
      7  1169    365306   19706  -3760919.3105   3636737.4160   3636400.7146    -217.6459      96.5468     -46.2700
      8  1169    365307   19707  -3760919.4787   3636737.6010   3636400.3528    -217.6621      96.1074     -46.2730
      9  1169    365308   19708  -3760919.6387   3636737.7920   3636399.9935    -217.6881      95.6709     -46.2760
     10  1169    365309   19709  -3760919.8100   3636737.9617   3636399.6394    -217.6911      95.2425     -46.2815
     11  1169    365310   19710  -3760919.9928   3636738.1417   3636399.2891    -217.6933      94.8084     -46.2721
     12  1169    365311   19711  -3760920.1531   3636738.3368   3636398.9334    -217.7222      94.3731     -46.2705
     13  1169    365312   19712  -3760920.3035   3636738.5353   3636398.5762    -217.7604      93.9394     -46.2737
     14  1169    365313   19713  -3760920.4532   3636738.7324   3636398.2198    -217.7980      93.5071     -46.2775
     15  1169    365314   19714  -3760920.6085   3636738.9321   3636397.8684    -217.8336      93.0756     -46.2738
     16  1169    365315   19715  -3760920.7726   3636739.1343   3636397.5113    -217.8649      92.6348     -46.2667
     17  1169    365316   19716  -3760920.9185   3636739.3381   3636397.1512    -217.9100      92.1984     -46.2712
     18  1169    365317   19717  -3760921.0548   3636739.5531   3636396.7936    -217.9698      91.7635     -46.2734
     19  1169    365318   19718  -3760921.1998   3636739.7674   3636396.4310    -218.0231      91.3213     -46.2739
     20  1169    365319   19719  -3760921.3166   3636739.9807   3636396.0869    -218.0952      90.9062     -46.2809
     21  1169    365320   19720  -3760921.4500   3636740.2068   3636395.7325    -218.1651      90.4708     -46.2767
     22  1169    365321   19721  -3760921.5681   3636740.4365   3636395.3810    -218.2481      90.0426     -46.2779
     23  1169    365322   19722  -3760921.6929   3636740.6545   3636395.0348    -218.3181      89.6206     -46.2787
     24  1169    365323   19723  -3760921.8115   3636740.8863   3636394.6796    -218.4023      89.1883     -46.2804
     25  1169    365324   19724  -3760921.9339   3636741.1220   3636394.3325    -218.4867      88.7596     -46.2731
     26  1169    365325   19725  -3760922.0425   3636741.3603   3636393.9887    -218.5825      88.3381     -46.2705
