% 2016îN 11åé 14ì˙ 17éû 31ï™ 30.982000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2:30: 0
END         TIME :  2008/12/13  3: 0: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1509    527400    9000            NaN            NaN            NaN          NaN          NaN          NaN
      2  1509    527401    9001  -3760543.6549   3636737.9912   3636651.7306    1746.1105   -9423.4731      44.3752
      3  1509    527402    9002  -3760531.5358   3636744.3907   3636656.8445    1733.0840   -9416.8408      43.8281
      4  1509    527403    9003  -3760519.4367   3636751.1288   3636661.8017    1719.8280   -9410.4802      43.3956
      5  1509    527404    9004  -3760507.3823   3636757.9344   3636666.8602    1706.5546   -9404.0822      43.0859
      6  1509    527405    9005  -3760495.4460   3636764.7795   3636671.9137    1693.3350   -9397.7528      42.8654
      7  1509    527406    9006  -3760483.6867   3636771.6161   3636676.8980    1680.2445   -9391.5497      42.7043
      8  1509    527407    9007  -3760471.8749   3636778.2160   3636681.8666    1667.2877   -9385.2432      42.3687
      9  1509    527408    9008  -3760459.8414   3636784.5473   3636686.7265    1654.3697   -9378.8269      41.6871
     10  1509    527409    9009  -3760447.7855   3636790.7154   3636691.9200    1641.5534   -9372.0629      41.0914
     11  1509    527410    9010  -3760435.7141   3636796.3317   3636697.6638    1629.1229   -9364.6218      40.4886
     12  1509    527411    9011  -3760423.6799   3636801.2265   3636704.0919    1617.2367   -9356.3476      39.8903
     13  1509    527412    9012  -3760411.6749   3636805.5826   3636711.0377    1605.7579   -9347.4466      39.3000
     14  1509    527413    9013  -3760399.8114   3636809.5387   3636718.4538    1594.6649   -9338.0592      38.8354
     15  1509    527414    9014  -3760387.9536   3636813.1026   3636726.2123    1583.8578   -9328.2373      38.3477
     16  1509    527415    9015  -3760376.0644   3636816.3753   3636734.4132    1573.2381   -9317.9239      37.9300
     17  1509    527416    9016  -3760364.2256   3636819.1455   3636743.1100    1563.0145   -9307.0247      37.5410
     18  1509    527417    9017  -3760352.6652   3636821.3194   3636752.4340    1553.4130   -9295.4888      37.3367
     19  1509    527418    9018  -3760341.4293   3636822.9653   3636762.2081    1544.4167   -9283.5076      37.2812
     20  1509    527419    9019  -3760330.4171   3636824.3053   3636772.1525    1535.7957   -9271.3571      37.2812
     21  1509    527420    9020  -3760319.5489   3636825.4731   3636782.1339    1527.3986   -9259.1670      37.2890
     22  1509    527421    9021  -3760308.7795   3636826.5708   3636792.0474    1519.1206   -9247.0453      37.2760
     23  1509    527422    9022  -3760298.0874   3636827.6861   3636801.9105    1510.8837   -9235.0037      37.2896
     24  1509    527423    9023  -3760287.5417   3636828.7773   3636811.6600    1502.7659   -9223.1059      37.3104
     25  1509    527424    9024  -3760277.1384   3636829.7968   3636821.1402    1494.7987   -9211.4588      37.2193
     26  1509    527425    9025  -3760266.9356   3636830.7329   3636830.4318    1487.0308   -9200.0154      37.0902
     27  1509    527426    9026  -3760256.8543   3636831.5794   3636839.5163    1479.4118   -9188.7559      36.8627
     28  1509    527427    9027  -3760246.8090   3636832.3014   3636848.3024    1471.9073   -9177.7057      36.4140
     29  1509    527428    9028  -3760237.1957   3636832.9521   3636856.6811    1464.7545   -9167.1389      35.9446
     30  1509    527429    9029  -3760228.3281   3636833.5734   3636864.4116    1458.1414   -9157.3986      35.5247
     31  1509    527430    9030  -3760220.3508   3636834.1300   3636871.4022    1452.1939   -9148.6058      35.1665
     32  1509    527431    9031  -3760213.3124   3636834.5869   3636877.5071    1446.9710   -9140.8857      34.7948
     33  1509    527432    9032  -3760207.3378   3636834.9817   3636882.6735    1442.5324   -9134.3481      34.4742
