% 2016îN 10åé 13ì˙ 15éû 49ï™ 33.245000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  igrg3650.15i
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 10: 0: 0
END         TIME :  2015/12/31 11: 7:30
Ref. Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Baseline[m] :        0.0000

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1877    381630   36030  -3762367.3149   3680867.0831   3590465.1458       0.2823       0.0646      -0.3729
      2  1877    381660   36060  -3762368.2799   3680868.0626   3590465.6777       0.2569      -0.2751       1.0615
      3  1877    381690   36090  -3762368.0083   3680868.3241   3590466.1182      -0.1199       0.0943       1.3016
      4  1877    381720   36120  -3762367.4053   3680867.6840   3590465.7475      -0.0841       0.2861       0.3674
      5  1877    381750   36150  -3762367.0711   3680867.3773   3590465.2884      -0.0985       0.1643      -0.2662
      6  1877    381780   36180  -3762367.4238   3680867.6286   3590465.3402      -0.0316      -0.0351       0.1158
      7  1877    381810   36210  -3762367.4606   3680867.5847   3590465.1795       0.0256      -0.1651       0.0212
      8  1877    381840   36240  -3762367.5841   3680867.7361   3590465.5066       0.0037      -0.0054       0.3664
      9  1877    381870   36270  -3762367.3187   3680867.5299   3590465.4792      -0.0345       0.1610       0.0756
     10  1877    381900   36300  -3762367.0108   3680867.2576   3590465.3524      -0.0551       0.2889      -0.3345
     11  1877    381930   36330  -3762366.7803   3680867.1014   3590465.2085      -0.1047       0.3254      -0.6418
     12  1877    381960   36360  -3762366.8873   3680867.1783   3590465.2352      -0.0849       0.2737      -0.5194
     13  1877    381990   36390  -3762366.9196   3680867.1840   3590465.1132      -0.0663       0.1578      -0.5661
     14  1877    382020   36420  -3762366.8554   3680867.1484   3590464.9876      -0.0858       0.0944      -0.6955
     15  1877    382050   36450  -3762367.1821   3680867.3972   3590465.0950      -0.0352      -0.0479      -0.2988
     16  1877    382080   36480  -3762367.2657   3680867.4527   3590465.1327      -0.0163      -0.0726      -0.1962
