% 2016îN 7åé 29ì˙ 13éû 19ï™ 11.658000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 10: 0: 0
END         TIME :  2015/12/31 11: 7:30
Ref. Position[m] :  X = -3762296.7645,  Y = 3685992.5241,  Z = 3585585.4878
True Position[m] :  X = -3762367.3634,  Y = 3680867.5254,  Z = 3590465.3036
True Baseline[m] :     7076.9484

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1877    381630   36030  -3762367.6985   3680867.8728   3590465.4960      -0.0140      -0.1145       0.5066
      2  1877    381660   36060  -3762368.4570   3680868.2851   3590465.9350       0.2218      -0.2228       1.4398
      3  1877    381690   36090  -3762367.6999   3680867.9397   3590466.0621      -0.0609       0.3251       0.8665
      4  1877    381720   36120  -3762367.5835   3680867.9634   3590466.2945      -0.1591       0.5544       0.9432
      5  1877    381750   36150  -3762367.3072   3680867.5886   3590465.7859      -0.0845       0.3953       0.2764
      6  1877    381780   36180  -3762367.5700   3680867.6809   3590465.7437       0.0333       0.2176       0.4605
      7  1877    381810   36210  -3762367.7865   3680867.7316   3590465.6725       0.1485       0.0513       0.5770
      8  1877    381840   36240  -3762367.7698   3680867.6657   3590465.7490       0.1839       0.1472       0.5725
      9  1877    381870   36270  -3762367.5877   3680867.5477   3590465.7729       0.1409       0.2873       0.4107
     10  1877    381900   36300  -3762367.3297   3680867.4382   3590465.7309       0.0388       0.4004       0.1718
     11  1877    381930   36330  -3762367.1818   3680867.3414   3590465.6859       0.0045       0.4615       0.0033
     12  1877    381960   36360  -3762367.1790   3680867.3384   3590465.5380       0.0047       0.3419      -0.0837
     13  1877    381990   36390  -3762367.2436   3680867.3940   3590465.4313       0.0101       0.2057      -0.0740
     14  1877    382020   36420  -3762367.2742   3680867.3914   3590465.3600       0.0334       0.1357      -0.0979
     15  1877    382050   36450  -3762367.4543   3680867.4680   3590465.3063       0.1046      -0.0118       0.0220
     16  1877    382080   36480  -3762367.4831   3680867.4579   3590465.2930       0.1320      -0.0305       0.0256
     17  1877    382110   36510  -3762367.4559   3680867.4908   3590465.4008       0.0894       0.0564       0.0895
     18  1877    382140   36540  -3762367.3936   3680867.4382   3590465.3905       0.0835       0.0940       0.0167
     19  1877    382170   36570  -3762367.4973   3680867.5767   3590465.5013       0.0570       0.0884       0.2204
     20  1877    382200   36600  -3762367.5343   3680867.6536   3590465.5636       0.0279       0.0944       0.3218
     21  1877    382230   36630  -3762367.5360   3680867.6323   3590465.5910       0.0443       0.1247       0.3260
     22  1877    382260   36660  -3762367.5935   3680867.7007   3590465.6584       0.0356       0.1300       0.4375
     23  1877    382290   36690  -3762367.5135   3680867.6848   3590465.6517      -0.0090       0.1632       0.3774
     24  1877    382320   36720  -3762367.5769   3680867.7305   3590465.6838       0.0027       0.1459       0.4593
     25  1877    382350   36750  -3762367.5191   3680867.6880   3590465.6413      -0.0074       0.1510       0.3766
     26  1877    382380   36780  -3762367.5182   3680867.7001   3590465.6282      -0.0166       0.1357       0.3757
     27  1877    382410   36810  -3762367.5531   3680867.7250   3590465.6292      -0.0100       0.1126       0.4111
     28  1877    382440   36840  -3762367.6116   3680867.7575   3590465.6239       0.0077       0.0717       0.4614
     29  1877    382470   36870  -3762367.6300   3680867.7746   3590465.6163       0.0083       0.0512       0.4778
     30  1877    382500   36900  -3762367.5637   3680867.7638   3590465.6040      -0.0303       0.0722       0.4255
     31  1877    382530   36930  -3762367.5036   3680867.7331   3590465.5927      -0.0504       0.0994       0.3660
     32  1877    382560   36960  -3762367.4617   3680867.7366   3590465.5675      -0.0822       0.0942       0.3290
     33  1877    382590   36990  -3762367.4663   3680867.7327   3590465.5537      -0.0762       0.0824       0.3217
