% 2016îN 7åé 27ì˙ 15éû 16ï™ 30.055000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  03383650.15o
Ephemeris   File :  03383650.15n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2015/12/31 22: 0: 0
END         TIME :  2015/12/31 23: 7:30
Ref. Position[m] :  X = -3755383.2183,  Y = 3675126.8517,  Z = 3603381.8586

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1877    424800   79200  -3762367.9679   3680868.1155   3590465.4681       0.0010      -0.3426       0.7895
      2  1877    424830   79230  -3762367.3680   3680867.6659   3590465.0673      -0.0972      -0.2523      -0.0501
      3  1877    424860   79260  -3762367.4338   3680867.7647   3590465.1087      -0.1218      -0.2839       0.0691
      4  1877    424890   79290  -3762366.7874   3680867.1633   3590464.7264      -0.1440      -0.0994      -0.8749
      5  1877    424920   79320  -3762366.6318   3680866.9618   3590464.6656      -0.1087      -0.0068      -1.1171
      6  1877    424950   79350  -3762366.5141   3680866.8790   3590464.6221      -0.1319       0.0378      -1.2589
      7  1877    424980   79380  -3762366.9218   3680867.2468   3590465.0316      -0.1097       0.0647      -0.5748
      8  1877    425010   79410  -3762367.1462   3680867.5797   3590465.2629      -0.1907       0.0328      -0.1197
      9  1877    425040   79440  -3762366.7846   3680867.2558   3590465.1712      -0.2120       0.2319      -0.5714
     10  1877    425070   79470  -3762366.6594   3680867.0406   3590464.9967      -0.1458       0.2238      -0.8680
     11  1877    425100   79500  -3762366.5367   3680866.7290   3590464.8879      -0.0089       0.3072      -1.1816
     12  1877    425130   79530  -3762366.7481   3680866.7817   3590464.9876       0.1013       0.2829      -0.9701
     13  1877    425160   79560  -3762366.7466   3680866.5196   3590465.0450       0.2876       0.4346      -1.0897
     14  1877    425190   79590  -3762366.8617   3680866.4590   3590465.1704       0.4114       0.5154      -0.9858
     15  1877    425220   79620  -3762366.9926   3680866.6731   3590465.2511       0.3500       0.4442      -0.7396
     16  1877    425250   79650  -3762367.2237   3680867.0782   3590465.3606       0.2220       0.2806      -0.3079
     17  1877    425280   79680  -3762367.3966   3680867.3475   3590465.4042       0.1504       0.1399      -0.0261
     18  1877    425310   79710  -3762367.5680   3680867.3995   3590465.3996       0.2331       0.0462       0.1023
     19  1877    425340   79740  -3762367.6142   3680867.2004   3590465.3614       0.4077       0.0748      -0.0068
     20  1877    425370   79770  -3762367.6888   3680867.1000   3590465.4231       0.5316       0.1352       0.0142
     21  1877    425400   79800  -3762367.7448   3680866.9025   3590465.4951       0.7120       0.2501      -0.0260
     22  1877    425430   79830  -3762367.7576   3680866.8332   3590465.5551       0.7704       0.3218      -0.0243
     23  1877    425460   79860  -3762367.7410   3680866.7701   3590465.5589       0.8039       0.3567      -0.0684
     24  1877    425490   79890  -3762367.6679   3680866.7773   3590465.5849       0.7477       0.4048      -0.0926
     25  1877    425520   79920  -3762367.6819   3680866.7839   3590465.6417       0.7527       0.4434      -0.0484
     26  1877    425550   79950  -3762367.5726   3680866.8648   3590465.6402       0.6184       0.4544      -0.0670
     27  1877    425580   79980  -3762367.5096   3680866.9550   3590465.6539       0.5100       0.4554      -0.0443
     28  1877    425610   80010  -3762367.4311   3680867.0057   3590465.6102       0.4188       0.4311      -0.0862
     29  1877    425640   80040  -3762367.5013   3680867.1016   3590465.6543       0.3994       0.4010       0.0355
     30  1877    425670   80070  -3762367.5728   3680867.1159   3590465.6441       0.4391       0.3581       0.0800
     31  1877    425700   80100  -3762367.6213   3680867.1396   3590465.6598       0.4561       0.3420       0.1312
     32  1877    425730   80130  -3762367.6541   3680867.0150   3590465.6507       0.5681       0.3706       0.0736
     33  1877    425760   80160  -3762367.7096   3680866.8469   3590465.6374       0.7271       0.4037       0.0018
     34  1877    425790   80190  -3762367.7178   3680866.8252   3590465.6336       0.7484       0.4058      -0.0080
     35  1877    425820   80220  -3762367.6775   3680866.8318   3590465.5756       0.7154       0.3717      -0.0608
     36  1877    425850   80250  -3762367.5474   3680866.8879   3590465.5134       0.5844       0.3509      -0.1403
     37  1877    425880   80280  -3762367.5239   3680866.9922   3590465.5224       0.4934       0.3265      -0.0889
     38  1877    425910   80310  -3762367.4742   3680867.1186   3590465.5371       0.3683       0.3087      -0.0370
     39  1877    425940   80340  -3762367.5840   3680867.1958   3590465.5858       0.3899       0.2739       0.0997
     40  1877    425970   80370  -3762367.6273   3680867.0742   3590465.5406       0.5071       0.2672       0.0296
     41  1877    426000   80400  -3762367.6533   3680866.9270   3590465.4970       0.6305       0.2790      -0.0646
     42  1877    426030   80430  -3762367.6640   3680866.8825   3590465.4766       0.6698       0.2754      -0.0955
     43  1877    426060   80460  -3762367.6730   3680866.8964   3590465.4910       0.6661       0.2782      -0.0740
