% 2016îN 11åé 14ì˙ 17éû 45ï™ 1.662000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  3: 0: 0
END         TIME :  2008/12/13  3:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
      1  1509    529200   10800  -3755356.8277   3634245.5710   3644359.1306     -69.8108      22.1679       3.8197
      2  1509    529201   10801  -3755369.4388   3634234.9130   3644356.2132     -53.3820      18.8317       3.4944
      3  1509    529202   10802  -3755382.1238   3634224.3965   3644353.2498     -37.0034      15.3708       3.2667
      4  1509    529203   10803  -3755394.8057   3634214.0602   3644350.2986     -20.7564      11.8492       3.1467
      5  1509    529204   10804  -3755407.5193   3634203.8819   3644347.4251      -4.6011       8.3149       3.1800
      6  1509    529205   10805  -3755420.1306   3634193.7201   3644344.5652      11.4714       4.8274       3.1703
      7  1509    529206   10806  -3755432.6683   3634183.5563   3644341.7021      27.4941       1.3685       3.1143
      8  1509    529207   10807  -3755445.1953   3634173.5010   3644338.8324      43.4314      -2.1349       3.1100
      9  1509    529208   10808  -3755457.6540   3634163.4735   3644336.0080      59.3012      -5.5839       3.1073
     10  1509    529209   10809  -3755470.0776   3634153.5024   3644333.2071      75.1061      -9.0218       3.1296
     11  1509    529210   10810  -3755482.5017   3634143.5454   3644330.4235      90.9011     -12.4514       3.1702
     12  1509    529211   10811  -3755494.9716   3634133.5009   3644327.6166     106.7910     -15.8840       3.1745
     13  1509    529212   10812  -3755507.5459   3634123.3919   3644324.7815     122.7998     -19.3570       3.1874
     14  1509    529213   10813  -3755520.1871   3634113.2111   3644321.8912     138.9067     -22.8742       3.1669
     15  1509    529214   10814  -3755532.9184   3634103.0206   3644318.9932     155.0832     -26.4309       3.1895
     16  1509    529215   10815  -3755545.6433   3634092.8338   3644316.0627     171.2526     -30.0132       3.1919
     17  1509    529216   10816  -3755558.3261   3634082.5944   3644313.1334     187.4305     -33.5560       3.1402
     18  1509    529217   10817  -3755571.0452   3634072.3787   3644310.2614     203.6167     -37.0763       3.1562
     19  1509    529218   10818  -3755583.7043   3634062.0731   3644307.4411     219.8256     -40.4937       3.1155
     21  1509    529220   10820  -3755608.2897   3634040.2293   3644303.7776     252.6198     -44.9152       3.0376
     22  1509    529221   10821  -3755619.9338   3634028.4846   3644303.4920     269.1572     -45.2640       3.0372
     23  1509    529222   10822  -3755630.9313   3634016.2214   3644304.3546     285.6174     -44.1988       3.0213
     24  1509    529223   10823  -3755641.2143   3634003.5450   3644306.3492     301.8778     -41.7470       3.0003
     25  1509    529224   10824  -3755650.6898   3633990.5644   3644309.4998     317.7952     -37.8941       2.9956
     26  1509    529225   10825  -3755659.3376   3633977.3760   3644313.6693     333.2862     -32.7826       2.9712
     27  1509    529226   10826  -3755667.0804   3633964.0917   3644318.8518     348.2169     -26.4299       2.9420
     28  1509    529227   10827  -3755673.9402   3633950.8344   3644324.9681     362.5141     -18.9592       2.9454
     29  1509    529228   10828  -3755679.8243   3633937.6581   3644331.9551     376.0746     -10.4054       2.9213
     30  1509    529229   10829  -3755684.7925   3633924.6824   3644339.7584     388.8541      -0.8854       2.9418
     31  1509    529230   10830  -3755688.8164   3633911.9084   3644348.2485     400.8318       9.5060       2.9164
     32  1509    529231   10831  -3755691.7588   3633899.1979   3644357.3601     412.0118      20.8272       2.6481
     33  1509    529232   10832  -3755693.7997   3633887.1552   3644367.2875     422.0851      32.9215       2.6985
     34  1509    529233   10833  -3755694.9633   3633875.5289   3644377.6968     431.2491      45.6061       2.7468
     35  1509    529234   10834  -3755695.6598   3633864.1501   3644388.2933     439.9103      58.5378       2.7687
     36  1509    529235   10835  -3755696.2377   3633852.8446   3644398.8917     448.4364      71.4908       2.7637
     37  1509    529236   10836  -3755696.7656   3633841.5937   3644409.4710     456.8886      84.4270       2.7494
     38  1509    529237   10837  -3755697.3212   3633830.3620   3644419.9964     465.3461      97.3000       2.7314
     39  1509    529238   10838  -3755697.9293   3633819.1444   3644430.4733     473.8301     110.1059       2.7244
     40  1509    529239   10839  -3755698.5551   3633807.9655   3644440.9143     482.2985     122.8597       2.7292
     41  1509    529240   10840  -3755699.1544   3633796.8270   3644451.3291     490.7194     135.5868       2.7264
     42  1509    529241   10841  -3755699.7377   3633785.7510   3644461.7220     499.0844     148.2777       2.7371
     43  1509    529242   10842  -3755700.3084   3633774.7163   3644472.0979     507.4110     160.9434       2.7542
     44  1509    529243   10843  -3755700.8635   3633763.7172   3644482.4426     515.7010     173.5757       2.7644
     45  1509    529244   10844  -3755701.0288   3633752.3721   3644492.4422     523.9687     186.2248       2.1502
     46  1509    529245   10845  -3755701.6011   3633741.3451   3644502.8013     532.2907     198.8729       2.1630
     47  1509    529246   10846  -3755702.2376   3633730.2267   3644513.2496     540.7231     211.6041       2.2127
     48  1509    529247   10847  -3755702.8208   3633718.9890   3644523.6838     549.2042     224.3934       2.1550
     49  1509    529248   10848  -3755703.4171   3633707.7492   3644534.1924     557.6960     237.2390       2.1467
     50  1509    529249   10849  -3755703.9908   3633696.5006   3644544.7485     566.1782     250.1364       2.1473
     51  1509    529250   10850  -3755704.5785   3633685.2440   3644555.3062     574.6759     263.0325       2.1526
     52  1509    529251   10851  -3755705.1806   3633673.9716   3644565.8503     583.1952     275.9178       2.1494
     53  1509    529252   10852  -3755705.7814   3633662.6986   3644576.3815     591.7138     288.7933       2.1378
     54  1509    529253   10853  -3755706.3923   3633651.4366   3644586.9046     600.2316     301.6537       2.1338
     55  1509    529254   10854  -3755706.9779   3633640.2073   3644597.4312     608.7083     314.5143       2.1354
     56  1509    529255   10855  -3755707.5535   3633628.9915   3644607.9348     617.1684     327.3548       2.1256
     57  1509    529256   10856  -3755708.1316   3633617.7968   3644618.4253     625.6150     340.1751       2.1219
     58  1509    529257   10857  -3755708.7273   3633606.6228   3644628.8920     634.0590     352.9604       2.1265
     59  1509    529258   10858  -3755709.2974   3633595.4709   3644639.3194     642.4693     365.7153       2.1062
     60  1509    529259   10859  -3755709.8506   3633584.4230   3644649.6981     650.7932     378.3958       2.1071
